,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
0,2022-03-04,AAL,2023-03-01,362 days,29.31726907630522,10016.859992027283,10017.069991111755,0.16859992027282716,9.86977737489741,0.17063297668724609,0.1138143053798468,1.4992225811840716,3.191905067781995,2.298642567921058,-0.07423206159519191,-0.020314402989781342,181 days,43 days,41,53.65853658536586,7.087828264556606,-5.847519973864657,0.27755708669232604,3 days,2 days,1.3292281257214,0.3208053374773394
1,2022-06-14,AAN,2022-11-02,141 days,16.161616161616163,10001.266927719116,10002.50059223175,0.01266927719116211,-40.33194157816803,0.03225222643590264,0.10449893787685863,0.3086368827395032,0.5776135398822083,1.2136038682335235,-0.026575579791821013,-0.02238694134950222,97 days,37 days,9,33.33333333333333,4.550035967340227,-5.336570321165912,-0.7949642343899721,3 days,2 days,0.5491359020685064,-0.750621880014663
2,2022-03-02,AAPL,2023-03-13,376 days,98.84169884169884,9996.64892578125,10095.130752563477,-0.0335107421875,-9.112935164407656,-0.03260519412120466,1.105222967238562,0.0,0.0,0.0,-1.2415639242121967,-0.20715432958653923,203 days,28 days,255,52.156862745098046,8.897456365827372,-7.555256360462237,0.09267843144142862,4 days,2 days,1.1454657688731495,0.11724816214477528
3,2022-05-16,AAP,2022-11-21,189 days,14.393939393939394,9654.349105834961,10000.0,-3.456508941650391,-29.3963789700536,-6.495003911363806,2.658839613197128,0.0,0.0,0.0,-3.6919216918945286,-3.6919216918945286,188 days,188 days,13,38.46153846153847,5.075528873845226,-15.059256495915307,-3.0825984739865198,3 days,2 days,0.15356384499500383,-2.925328492402235
4,2022-03-22,AA,2023-02-27,342 days,10.212765957446807,10104.981567382812,10123.320182800293,1.049815673828125,-46.21461908641599,1.12618587983484,1.4128355594832884,0.7971103730194307,4.39468949399803,4.106171771137853,-0.2742666265816651,-0.18325918304181177,312 days,170 days,15,46.666666666666664,16.944677284899214,-7.352663595102671,0.1800967939559639,3 days,2 days,1.1762019204907916,0.3504564454949133
5,2022-03-02,ABBV,2023-02-28,363 days,25.2,10110.353485107422,10129.953140258789,1.1035348510742187,6.811681901237114,1.112412052951317,0.583767551203685,1.9055736322747072,5.067188975061888,4.785073648388603,-0.2324754297827636,-0.07939630750940666,113 days,27 days,36,61.111111111111114,6.032878879407533,-2.936052375460807,0.6958818613004292,3 days,2 days,3.2278061406777168,0.709895820152728
6,2022-04-21,ABB,2022-07-26,96 days,15.151515151515152,10011.983995437622,10011.983995437622,0.1198399543762207,-13.302756450422617,0.4583439748354179,0.1840381899085927,2.490482953907916,53.2229136216946,104.79540438135459,-0.0043737030029245005,-0.0043737030029245005,3 days,3 days,5,80.0,3.5862073539043804,-0.5031843347438558,1.4065870052170748,3 days,2 days,15.072306691270752,1.4161928561517168
7,2022-03-03,ABC,2022-12-23,295 days,14.077669902912621,9978.15478515625,10000.0,-0.21845214843750002,17.95169918312843,-0.2671675095426429,0.9039974779595508,0.0,0.0,0.0,-0.6397856140136771,-0.6397856140136771,263 days,263 days,15,46.666666666666664,3.9997344118888334,-3.6480451665409475,-0.28525533606712505,3 days,2 days,0.708469740511133,-0.26793729560812424
8,2022-03-04,ABNB,2023-02-17,350 days,23.553719008264462,10078.180114746094,10125.640106201172,0.7818011474609375,-7.778550162655273,0.8142381547394661,1.5804832181583657,0.5151830436315831,0.8971595436892976,0.7291667690185393,-1.1166693126120286,-1.1166693126120286,323 days,323 days,33,51.515151515151516,8.009733899420235,-13.353182256554796,-0.49756641468473584,3 days,2 days,0.795688784718206,-0.3992273556794465
9,2022-03-02,ABT,2023-02-27,362 days,21.686746987951807,9950.908256530762,10004.421310424805,-0.4909174346923828,-15.632008661667928,-0.4968173857829772,0.3042727866863234,0.0,0.0,0.0,-0.5348940456784024,-0.5348940456784024,319 days,319 days,30,46.666666666666664,3.0505545688300995,-2.955861776327662,-0.37822856145879324,4 days,2 days,0.5748871239436685,-0.365723169116882
