,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-05-12,"Top 5 Large-Cap NASDAQ Stocks In The Technology Sector With The Highest Earnings Per Share Expectations (GOOG, AAPL, FSLR, ADP, CTSH)",ADP,0.01223520084256835,-0.1184615297387015,0.00047101301581786714,0.022136664656149385,0.0036221579314130725,-0.029301446639377726,-0.004666362775305299,-0.013249648296913441,0.24872623184985243
1,2010-06-30,US Stock Futures Point To Higher Opening Today,ADP,-0.0032181842736843658,-0.42543089098511133,-0.012952204870741335,0.0014684908146096465,0.006899782108711339,-0.011690129356145551,-0.0019446850849580422,-0.013661493945519076,0.5125797409111807
2,2010-10-27,"Earnings Scheduled For October 27 (V, PEG, DPS, PG, ODP, ESRX, WHR, NOC, S, GG, SYMC, PX, COP, OI, IP, SO, LM, VMED, CMCSA, ADP, ALL, GD, IACI)",ADP,0.01108841685211348,-0.015635287878780546,0.004546978842753457,0.004337531085772506,0.005278803827107659,0.0064679882665432675,0.016197002658336013,-0.006938520261716263,-0.2370561834313374
3,2011-11-14,"Intuit Earnings Preview: Analysts Expect Rising Revenue, Falling EPS",ADP,-0.009969543537390102,0.0005305632998124921,0.018949263017226547,0.007875750522108316,-0.038978649156047984,0.020467300091902896,0.0030990670442654356,0.015491458790824586,0.3289133469231422
4,2012-03-15,"ETFs For Warren Buffett's Next Takeover (KOL, EWJ, XLF)",ADP,0.0034426939742444596,-0.2092725827321139,0.002178937477998133,0.003462038444006943,-0.0012736282404549604,0.00641008546269739,0.006080949251032308,-0.005056164608217784,1.1148114300857928
5,2012-08-31,Stocks Chris Christie Would Pick,ADP,0.002589318292720355,0.44324040039029056,-0.00770789066857791,-0.00017142565654226782,-0.002050807492439799,0.0015404275764492326,0.007762691216544937,0.0003442999672476077,-0.10964801037396832
10,2013-02-27,Small Cap Agree Realty on the Rise,ADP,0.0083495149621724,-0.15091059264312823,0.005101222428889329,-0.0039335820340745675,0.012277979327303346,-0.015357100057351691,-0.004067645915086238,-0.0037341055931829903,0.17002060817387044
13,2013-08-01,"Earnings Scheduled For August 1, 2013",ADP,-0.003329301099266213,0.05788127916249053,-0.0006930645839294813,0.0005547443074658265,-0.005242775478275785,0.004295228394578077,-0.0006921477249950403,-0.0037576097725287028,-0.0970156848568069
16,2014-02-05,"Earnings Scheduled For February 5, 2014",ADP,-0.01894602255987654,-0.2665813987356793,0.01174410284543903,-0.03289819445032949,-0.009055648618971901,0.010061381428024596,-0.006491129680506025,0.009111891105089587,-0.17720139647950617
19,2014-10-09,"#PreMarket Primer: Thursday, October 9: Fed Worries That Waning Global Economy Could Hurt US Progress",ADP,-0.02126230640761495,-0.050990956320954406,0.017138447273140178,-0.013419487416167497,-0.004409060101150719,0.03241402978997354,0.015121832355856846,-0.0072414671175393686,0.21446674776966757
20,2014-10-09,"#PreMarket Primer: Thursday, October 9: Fed Worried That Waning Global Economy Could Hurt US Progress",ADP,-0.02126230640761495,-0.050990956320954406,0.017138447273140178,-0.013419487416167497,-0.004409060101150719,0.03241402978997354,0.015121832355856846,-0.0072414671175393686,0.21446674776966757
26,2014-10-29,"Earnings Scheduled For October 29, 2014",ADP,0.008542460684287656,-0.41372904786590636,0.010330377191306583,0.00354385307436611,0.010074156427305914,0.011124399589407252,-0.0026731134586862604,0.013218677639972976,0.5575860290324957
29,2015-02-04,"Earnings Scheduled For February 4, 2015",ADP,0.016913618970086253,0.060945201507683455,0.020373398776054374,0.011026826054820305,-0.02157672488761786,-0.0021295265931784435,-0.01284635726873462,0.006814256015808429,-0.4120846086576301
32,2015-04-30,"Earnings Scheduled For April 30, 2015",ADP,-0.009954105858859474,0.14614018593962186,-0.002569600725943144,0.010743426017136848,-0.003529407998155931,-0.008977404615869156,0.0053922651745712535,0.017624387051085266,-0.04939846882974841
35,2015-07-30,"Earnings Scheduled For July 30, 2015",ADP,-0.02684007498434171,0.7080555251940104,0.021841692965375303,0.010787708112001804,-0.0007521120513579449,-0.014331439223656761,-0.009181254265835825,-0.004493074812818576,-0.3634948059981655
38,2016-02-03,"Earnings Scheduled For February 3, 2016",ADP,-0.00024321970868690368,-0.17410508630734634,-0.009641854648697712,-0.0014444463738029212,0.02897829506508698,0.0033548498473408017,-0.00506831652023676,0.007912092629842604,-0.40192926045016075
41,2016-04-28,"Earnings Scheduled For April 28, 2016",ADP,-0.01131812039511726,0.2273841678786619,0.0036747223578155186,0.002344733183472947,-0.0007808358072799448,0.003357405653513279,-0.008543908553837798,-0.007407455236297711,-0.22368554694112475
44,2016-07-28,"Earnings Scheduled For July 28, 2016",ADP,-0.03370907505116627,0.760241904018728,-0.008253132202581726,0.0045125643913517255,-0.0015717212578342243,0.00590231857463186,-0.005346671377292833,-0.03030664835357688,0.08048875096974406
47,2017-02-01,A Peek Into The Markets: U.S. Stock Futures Gain; Apple Beats Q1 Views,ADP,-0.05683715146528312,2.0706184381944976,-0.00961084496492659,0.002556309710652238,-0.0032338481387163,-0.00642655450323093,-0.0052309374293222355,0.011233781073422655,-0.5039120506133247
48,2017-06-02,The Market In 5 Minutes,ADP,-0.02293176943653752,2.344996299646411,0.00957289678559281,0.008273641746935567,0.0017759499912135546,0.0018779967055149172,0.011802552653957354,0.0011883619637527154,-0.6142188133780744
49,2017-07-27,"Earnings Scheduled For July 27, 2017",ADP,0.09105471259907261,4.3107879607710515,0.027137209040353882,-0.0034771169371745625,-0.009944463803485126,0.011999382061772312,0.005741803898312137,0.015134564863509503,-0.7358902860819905
50,2017-08-03,The Market In 5 Minutes,ADP,-0.030195349024560225,-0.09723155287723972,-0.013101394334235295,-0.017912645389367987,0.013034423904082715,0.015134564863509503,0.09105471259907261,-0.003399915361698036,-0.0992958215785148
51,2017-08-07,"Activists Gonna Activate: Hedge Funds Send Letters To Acorda, Taubman Centers Boards",ADP,0.007002468086177105,-0.5051668434162824,-0.003399915361698036,-0.030195349024560225,-0.013101394334235295,-0.017912645389367987,0.013034423904082715,-0.03262903734855416,1.4200558213716108
52,2017-10-04,Benzinga's Option Alert Recap From October 4,ADP,0.006232639693500852,0.03406563601844326,0.01271482700804416,0.0,0.0027518367541599087,-0.005654984264584884,0.012653629808939693,0.019479324649192886,0.0013638986518387242
53,2017-11-02,"Earnings Scheduled For November 2, 2017",ADP,-0.00918557225790595,0.30969945851655334,-0.0073973118030035145,-0.006154800761407508,-0.010739870868438306,0.008098667147827587,0.008251938449171492,-0.01836622431835022,-0.19348483587224952
54,2017-11-06,"The Week Ahead: Earnings Season Continues, Several IPOs, Notable Conferences On The Docket",ADP,-0.00810766167704724,0.0029587834583362227,-0.01836622431835022,-0.00918557225790595,-0.0073973118030035145,-0.006154800761407508,-0.010739870868438306,0.012754881400618867,0.5115257958287596
55,2017-11-15,"Q3 13F Roundup: How Buffett, Einhorn, Paulson, And Others Adjusted Their Portfolio",ADP,-0.012669378063626113,-0.21927710843373494,0.0049312644728518595,0.003960852728007058,-0.007859369472466682,-0.0055065139920931205,-0.0014191391056670444,0.003343648609331007,0.20254629629629628
56,2018-01-31,"15 Stocks To Watch For January 31, 2018",ADP,0.02334236546473778,0.9843731846171722,0.0004139141644710076,-0.012834078334911903,0.014092762133293357,-0.0019030492699969592,-0.010155648994423894,-0.02596450105836945,-0.25182236013934833
57,2018-01-31,"Earnings Scheduled For January 31, 2018",ADP,0.02334236546473778,0.9843731846171722,0.0004139141644710076,-0.012834078334911903,0.014092762133293357,-0.0019030492699969592,-0.010155648994423894,-0.02596450105836945,-0.25182236013934833
58,2018-01-31,A Peek Into The Markets: U.S. Stock Futures Rise; Fed Decision In Focus,ADP,0.02334236546473778,0.9843731846171722,0.0004139141644710076,-0.012834078334911903,0.014092762133293357,-0.0019030492699969592,-0.010155648994423894,-0.02596450105836945,-0.25182236013934833
59,2018-04-30,"The Week Ahead: Tesla And Apple Earnings, Dropbox Quiet Period Expires, Fed Rate Decision And More",ADP,-0.015015119263527943,0.3600731015245515,0.01002618237037578,0.017052271065478353,0.0032668519567407017,-0.006660871610368768,0.0022251102709514026,0.006097632609648018,-0.10629420084865626
60,2018-05-02,"16 Stocks To Watch For May 2, 2018",ADP,0.02744100626516288,1.1452876473846643,0.006097632609648018,-0.015015119263527943,0.01002618237037578,0.017052271065478353,0.0032668519567407017,0.008520361287933431,-0.19395057174474362
61,2018-05-16,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolio",ADP,0.007476366388083244,-0.3339133316761952,0.0030784088851329994,-0.005183068002418079,-0.0003923506952555611,0.002755020131661512,0.010097730275469452,-0.00023442372299364855,0.0015549197661399727
62,2018-07-30,"Apple To Report Earnings Amid A Busy Week Filled With Economic Data, Fed Meeting And More",ADP,-0.02270594140024873,0.5890211823342102,-0.013142975605215712,0.0006472473119762956,0.014878188320218033,-0.004284471973237558,0.0026940172557559094,0.0052128999266471965,0.1517316488782401
63,2018-08-01,"12 Stocks To Watch For August 1, 2018",ADP,-0.017631060910973884,0.5150540888115591,0.0052128999266471965,-0.02270594140024873,-0.013142975605215712,0.0006472473119762956,0.014878188320218033,0.004072214409374109,-0.394033204344027
64,2018-11-15,"Q3 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolio",ADP,0.03174057639647199,0.1402143460666163,-0.013819913631182956,0.0038152753240439097,-0.020518066496946097,-0.004733013434200406,-0.002764766337425062,-0.004753811496498894,1.1125975039001559
65,2019-01-16,"Tech Sector Earnings: Revenue Growth Widely Expected To Slow, Will Global Uncertainty Weigh?",ADP,0.003249314966410344,-0.36672651471349016,0.0109243239257093,-0.005696788169720746,-0.0061150490392941625,0.00791355047537512,0.0009138827718095932,0.0013560312619316228,0.054685247477174403
66,2019-01-30,"Earnings Scheduled For January 30, 2019",ADP,0.040373420529514314,1.1629307848247898,-0.011070337970407351,-0.006671147842725267,0.012319246818218721,0.002455077253795679,0.009386441760481423,0.00308423710192951,0.5629703023324317
