,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2011-10-03,"Financial Breakfast: Morning News Summary for October 3, 2011",GPN,-0.026243774625019145,0.3402095973524546,-0.0009891499458658526,0.006973705174295297,-0.02524899301665995,0.018546345958611488,,0.038647133659770905,-0.09457568524158366
1,2012-04-02,Global Payments' Breach Overshadows Positive Quarter,GPN,-0.03705255429665666,1.2158770598438857,-0.09056110739752954,-0.006467163441867263,-0.013140817113150849,-0.003926611398192836,0.016343582242223986,0.025360379417909806,-0.42294849370696086
2,2012-09-27,"Earnings Scheduled For September 27, 2012 ",GPN,0.012482880644131722,-0.12170963364993215,-0.007115084098849089,-0.003886468098850737,-0.006586342707053716,0.009862634114588653,-0.004111955427133829,-0.044977622076210255,4.035068747103352
5,2014-04-03,Market Wrap For April 3: Markets Winning Streak Fails to Extend to Five Days,GPN,-0.0030618033662639377,0.4241671537112799,-0.004708877165656156,0.015328933619314755,0.00965443531648269,0.00801514211347687,0.020297519535977138,-0.04690102896891524,2.458705242638761
7,2014-04-03,Market Wrap For April 3: Markets Winning Streak Fails To Extend To Five Days,GPN,-0.0030618033662639377,0.4241671537112799,-0.004708877165656156,0.015328933619314755,0.00965443531648269,0.00801514211347687,0.020297519535977138,-0.04690102896891524,2.458705242638761
11,2014-07-29,"Earnings Scheduled For July 29, 2014",GPN,0.004059253476940361,0.25548526046574227,-0.004597538101638099,-0.012248788772020736,-0.015580901752793141,0.0002712742312263039,0.010544656439585243,-0.015056310047990462,1.0128658732711484
14,2014-08-29,Apple Electronic Payments Entry Called A 'Game Changer',GPN,0.007341747342581195,0.29848046309696086,-0.0019355004655835506,-0.0019325151388981388,0.001659128056680892,0.0030501817483497007,0.0013884600671223435,0.0017875271047542718,1.014210086375035
16,2014-08-29,Apple Electronic Payments Entry Called 'Game Changer',GPN,0.007341747342581195,0.29848046309696086,-0.0019355004655835506,-0.0019325151388981388,0.001659128056680892,0.0030501817483497007,0.0013884600671223435,0.0017875271047542718,1.014210086375035
20,2014-10-02,"#PreMarket Primer: Thursday, October 2: Hong Kong Protests Threaten To Escalate",GPN,0.050297793830215376,0.6545672459549696,-0.015597988519697847,-0.004700222741747639,-0.005664534712061076,0.018315400290674466,-0.004164468612345651,0.05633198455295019,0.07274796916231185
27,2014-10-02,"#PreMarket Primer: Tuesday, October 2: Hong Kong Protests Threaten To Escalate",GPN,0.050297793830215376,0.6545672459549696,-0.015597988519697847,-0.004700222741747639,-0.005664534712061076,0.018315400290674466,-0.004164468612345651,0.05633198455295019,0.07274796916231185
29,2014-10-03,"#PreMarket Primer: Friday, October 3: JP Morgan Suffers Largest Cyberattack Against A Financial Institution",GPN,0.05633198455295019,0.07274796916231185,0.050297793830215376,-0.015597988519697847,-0.004700222741747639,-0.005664534712061076,0.018315400290674466,0.01153039091482011,-0.13003424492355187
41,2014-10-15,Oppenheimer Top Ideas Monthly: Consumer And Business Services,GPN,-0.002361169723567924,0.15995249840138848,0.00446435192576633,-0.01646526719939867,-0.014736061200259387,-0.023240438672956998,0.001454549739791533,0.0,-0.27059379429831465
42,2014-10-15,Oppenheimer Top Ideas Monthly: Consumer and Business Services,GPN,-0.002361169723567924,0.15995249840138848,0.00446435192576633,-0.01646526719939867,-0.014736061200259387,-0.023240438672956998,0.001454549739791533,0.0,-0.27059379429831465
46,2015-07-28,"Earnings Scheduled For July 28, 2015",GPN,0.07575577432341873,1.3963963963963963,-0.021922089724263016,-0.008730280810232083,-0.009772554851794957,-0.003931164228562434,-0.010740895692357921,0.016377224654574363,-0.14383561643835618
49,2016-05-25,Global Payments Extends Support To Apple Pay In Singapore,GPN,-0.012432104654118148,-0.25651302605210424,0.03097470854635387,-0.0006666284744103468,0.010107333537798135,-0.001077381442848191,0.0017537230423121386,0.001442412622963296,-0.5322357397829096
51,2016-05-25,Global Payments Extends Its Support To Apple Pay In Singapore,GPN,-0.012432104654118148,-0.25651302605210424,0.03097470854635387,-0.0006666284744103468,0.010107333537798135,-0.001077381442848191,0.0017537230423121386,0.001442412622963296,-0.5322357397829096
53,2016-07-20,Global Payments Extend Support for Apple Pay in Hong Kong,GPN,0.014979838685074798,0.27471798274717973,0.00013038523038422234,0.0005214058257025922,0.003137740787843457,0.010571006192140464,0.003181515584862682,-0.009111920850344402,-0.13925039042165543
55,2016-07-20,Global Payments Extend Support For Apple Pay In Hong Kong,GPN,0.014979838685074798,0.27471798274717973,0.00013038523038422234,0.0005214058257025922,0.003137740787843457,0.010571006192140464,0.003181515584862682,-0.009111920850344402,-0.13925039042165543
57,2016-10-05,18 Biggest Mid-Day Gainers For Wednesday,GPN,0.03401373673504393,0.6403131547028338,-0.00881745494737518,0.00468998745641902,0.008805297396911493,-0.008986833334028055,0.009200640551314088,-0.0007591493695268126,-0.527359505243345
58,2016-10-05,15 Stocks Moving In Wednesday's Pre-Market Session,GPN,0.03401373673504393,0.6403131547028338,-0.00881745494737518,0.00468998745641902,0.008805297396911493,-0.008986833334028055,0.009200640551314088,-0.0007591493695268126,-0.527359505243345
59,2016-11-15,Buy 'The Donald Dip' In Payments Stocks At Attractive Entry Points,GPN,0.02223199227618622,-0.016687697160883253,-0.04202021295665259,-0.020301821029497846,-0.025820507708238183,0.0024783156780787685,0.011418831338916968,0.02777364890747802,-0.38657726733181486
60,2017-01-09,Mid-Day Market Update: Acuity Brands Drops On Disappointing Results; Surgical Care Affiliates Shares Surge,GPN,0.07172608346061637,1.4406929691451693,0.014028921442419628,0.003965536322859231,0.03730531665995418,0.01570331170030803,-0.005872201043631398,-0.023937836981025584,-0.43093622092119577
61,2017-01-09,Mid-Afternoon Market Update: Ariad Pharmaceuticals Surges On Acquisition News; Stage Stores Shares Slide,GPN,0.07172608346061637,1.4406929691451693,0.014028921442419628,0.003965536322859231,0.03730531665995418,0.01570331170030803,-0.005872201043631398,-0.023937836981025584,-0.43093622092119577
62,2017-01-09,A Peek Into The Markets: U.S. Stock Futures Mostly Lower Ahead Of Fed Speakers,GPN,0.07172608346061637,1.4406929691451693,0.014028921442419628,0.003965536322859231,0.03730531665995418,0.01570331170030803,-0.005872201043631398,-0.023937836981025584,-0.43093622092119577
63,2017-01-09,15 Stocks Moving In Monday's Pre-Market Session,GPN,0.07172608346061637,1.4406929691451693,0.014028921442419628,0.003965536322859231,0.03730531665995418,0.01570331170030803,-0.005872201043631398,-0.023937836981025584,-0.43093622092119577
64,2017-03-30,The Market In 5 Minutes,GPN,0.023721899731864005,1.495865843717247,0.0010159203800643724,0.008064341314562906,-0.0038254343318849804,-0.0065872916232110335,-0.0016440414403453563,-0.00024813312700056045,-0.3664147069802165
65,2018-05-17,Cantor's Coindesk Consensus Conference Takeaways,GPN,-0.011547896737348906,0.14522356457840324,0.005851299732471116,-0.0034813140738638726,-0.010591457287073447,0.0011207654908322873,0.012216499680157478,-0.0007026774167975258,0.21120174007612835
66,2018-10-30,"Earnings Scheduled For October 30, 2018",GPN,0.01672207035402451,-0.06381989382725617,-0.02856132716737314,-0.01839840956773875,0.03397036015902577,-0.039585777621322205,-0.016177447581857574,0.032260767690715175,-0.2504139072847682
67,2019-02-13,"13 Stocks To Watch For February 13, 2019",GPN,0.04539264440157176,0.601352553835202,0.01206695078707809,0.009747536900676979,0.01681415104723971,-0.011546504891264742,-0.008499598482776927,-0.009776119549958384,-0.4416907460917241
68,2019-02-13,"Earnings Scheduled For February 13, 2019",GPN,0.04539264440157176,0.601352553835202,0.01206695078707809,0.009747536900676979,0.01681415104723971,-0.011546504891264742,-0.008499598482776927,-0.009776119549958384,-0.4416907460917241
