,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-08-20,"Afternoon Market Update (HIBB, INTU, XOM, CVX)",HIBB,-0.08266359441520477,3.0232558139534884,-0.014334173065625677,0.0015110659576609287,0.020431705155471214,-0.00916727640762205,-0.001525473600141769,-0.03045456545885805,-0.6657168444191158
1,2011-03-11,A Peek Into The Market Before The Trading Starts,HIBB,-0.011219066780122411,0.7121725731895223,0.013833404896415269,-0.003675393986828035,0.05288620175375747,-0.012105731252866514,0.02380945350457231,-0.0015330866867517834,-0.42287616990640753
2,2011-05-20,Stocks To Watch For May 20,HIBB,0.03945634597950787,0.5938546672491627,-0.0071466696783936134,0.019978450673796333,-0.021141691493434034,-0.014069787631710406,-0.003634567013095724,0.013336409084301115,-0.4746459570580174
3,2011-05-20,US Stock Futures Slightly Down; Liberty Media Offers To Buy Barnes & Noble,HIBB,0.03945634597950787,0.5938546672491627,-0.0071466696783936134,0.019978450673796333,-0.021141691493434034,-0.014069787631710406,-0.003634567013095724,0.013336409084301115,-0.4746459570580174
4,2011-11-18,US Stock Futures Up; Salesforce.com Shares Drop In Pre-Market,HIBB,0.0037090272248072598,0.595669687814703,0.007002689292162856,-0.021694522243022485,-0.0015960273780081247,-0.006118313195840663,0.03982094459295449,0.025404083143544698,-0.47354580835174087
5,2012-08-13,Earnings Expectations for the Week of August 13,HIBB,-0.008695594893231795,0.4740843123704215,-0.007167397957037691,-0.02416136920202694,0.009305219967713274,0.009065862726749252,-0.005153730725414807,0.005461719040823265,0.6136896390060946
7,2013-03-15,"Stocks To Watch For March 15, 2013",HIBB,0.03430920264832915,1.3654985610292871,0.03154458965587548,0.012266281096801723,-0.0003893319670197348,-0.029650491756384567,-0.022702005097618327,-0.01424206803837158,-0.6544049237815788
9,2013-03-15,US Stock Futures Slightly Lower Ahead Of CPI,HIBB,0.03430920264832915,1.3654985610292871,0.03154458965587548,0.012266281096801723,-0.0003893319670197348,-0.029650491756384567,-0.022702005097618327,-0.01424206803837158,-0.6544049237815788
13,2013-08-23,Mid-Afternoon Market Update: Microsoft Surges on Ballmer Retirement as Autodesk Rallies Despite Poor Guidance,HIBB,-0.08671118292847202,6.310862445414847,0.008799180103255866,-0.015959338634645825,0.002382767440022082,-0.012934716774533062,0.008128613716168243,-0.005617961377704095,-0.7485347369992907
15,2013-08-23,Mid-Morning Market Update: Microsoft Surges on Ballmer Retirement as Autodesk Rallies Despite Poor Guidance,HIBB,-0.08671118292847202,6.310862445414847,0.008799180103255866,-0.015959338634645825,0.002382767440022082,-0.012934716774533062,0.008128613716168243,-0.005617961377704095,-0.7485347369992907
17,2013-08-23,Mid-Day Market Update: US Stocks Edge Higher; Pandora Shares Drop On Weak Outlook,HIBB,-0.08671118292847202,6.310862445414847,0.008799180103255866,-0.015959338634645825,0.002382767440022082,-0.012934716774533062,0.008128613716168243,-0.005617961377704095,-0.7485347369992907
