,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2012-11-15,"Sharp Higher on Rumors of Rescue by Intel, Qualcom",HNHPF,0.006666700044631213,-0.7043337097684923,-0.0180034480515896,0.003284123508975778,-0.00652503891360845,-0.026984245055837963,0.08061747450008627,0.029801224044439634,1.352828837431368
2,2012-11-15,"Sharp Higher on Rumors of Rescue by Intel, Qualcomm",HNHPF,0.006666700044631213,-0.7043337097684923,-0.0180034480515896,0.003284123508975778,-0.00652503891360845,-0.026984245055837963,0.08061747450008627,0.029801224044439634,1.352828837431368
4,2013-08-19,"Will Apple, Dell And HP Follow Lenovo And Build Notebooks In-House?",HNHPF,0.0,-1.0,-0.007920916266711764,-0.001976442474786899,0.030549981475086474,0.0,-0.033464459170546745,0.0,
5,2013-08-19,"Will Apple, Dell And Hewlett-Packard Follow Lenovo And Build Notebooks In-House?",HNHPF,0.0,-1.0,-0.007920916266711764,-0.001976442474786899,0.030549981475086474,0.0,-0.033464459170546745,0.0,
7,2013-08-19,"Apple's iPhone 5S, iPhone 5C Practically Confirmed For September Launch",HNHPF,0.0,-1.0,-0.007920916266711764,-0.001976442474786899,0.030549981475086474,0.0,-0.033464459170546745,0.0,
9,2013-08-19,"Apple's iPhone 5S, iPhone 5C Planned For September Launch? (AAPL)",HNHPF,0.0,-1.0,-0.007920916266711764,-0.001976442474786899,0.030549981475086474,0.0,-0.033464459170546745,0.0,
12,2013-08-23,Google Acquires Foxconn Patents To Enhance Google Glass,HNHPF,0.0,-1.0,0.04391235568383656,0.0,0.0,0.0,-0.007920916266711764,-0.017208394802436078,inf
15,2013-08-23,Google Acquires Foxconn Patents To Enhance Google Glass (GOOG),HNHPF,0.0,-1.0,0.04391235568383656,0.0,0.0,0.0,-0.007920916266711764,-0.017208394802436078,inf
17,2013-09-05,Will Google Glass Be Dethroned Ahead Of Its Release?,HNHPF,0.07468037502532399,inf,0.0,0.0175097087840681,0.0,0.0,0.0,-0.02400003420592023,99.5
18,2013-09-05,Will Google Glass Be Dethroned Ahead Of Its Release? (GOOG),HNHPF,0.07468037502532399,inf,0.0,0.0175097087840681,0.0,0.0,0.0,-0.02400003420592023,99.5
22,2013-10-16,iPhone 5C Orders Reduced By Apple - Again! (AAPL),HNHPF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
24,2013-10-16,iPhone 5C Orders Reduced By Apple - Again!,HNHPF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
26,2013-11-05,"Apple Rumor Mill Strikes Back, Promises Large iPad In 2014",HNHPF,0.006147628190846133,inf,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
31,2013-11-18,Is Apple's iPhone 5C The Biggest Flop Of The Year?,HNHPF,0.04166667329448792,inf,0.0,0.0,-0.0020789786479670225,-0.024340805346967143,0.0,-0.013999994502619906,75.0
35,2013-11-20,Apple Reduces iPhone 5C Orders By 50% From One Supplier,HNHPF,0.0,-1.0,-0.013999994502619906,0.04166667329448792,0.0,0.0,-0.0020789786479670225,0.0,
39,2014-05-27,"DigiTimes Reports Foxconn to Manufacture 5.5-inch, 4.7-inch iPhone Models",HNHPF,0.030508387936693415,inf,0.0,0.017241582447978798,0.0,0.0,0.0,0.0,-1.0
42,2014-06-23,FoxConn Reportedly to Hire 100K Workers for Production of Apple's iPhone 6,HNHPF,0.0,-0.9375,0.007874107585008172,0.0,-0.007812590407620945,0.0,0.0,-0.009375191999689836,5.0
45,2014-06-24,Apple Rejects Catcher's 4.7-inch iPhone 6 Chassis Due to Defects,HNHPF,-0.009375191999689836,5.0,0.0,0.007874107585008172,0.0,-0.007812590407620945,0.0,-0.023659223079461777,0.33333333333333326
48,2014-07-07,"Digitimes Reports Cisco, Dell May Move Server ODM Orders Away from Foxconn",HNHPF,0.024637624388184065,2.0,0.022222312714083925,-0.007353082355937124,0.02874446675339204,0.06785135166138856,0.0,-0.024045207595119633,5.666666666666667
51,2014-08-14,"Pegatron, Foxconn Reportedly to Each Produce 50% of Apple's 4.7-inch iPhone ",HNHPF,0.0,-1.0,0.020895400605053682,0.0,0.0,-0.008875752343208587,0.00148157800613391,0.0,
54,2014-09-03,"Supply Chain Sources Report Taiwan Handset Makers See Drop in Orders from Amazon, Microsoft, Facebook ",HNHPF,0.0,,0.0,0.02173916882759075,0.0,0.01795182432751119,0.05555582842027995,0.0,
