,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2015-02-10,"Earnings Scheduled For February 10, 2015",HOT,0.06598357920400222,1.0288063931608047,-0.006000910142607285,-0.03940985028742017,0.0123487556285935,-0.007809157310574855,0.03181436241747004,0.004346027175424982,-0.6783882196674759
5,2015-02-12,Costco Dumps American Express; Investors Don't Like It,HOT,0.021243208159060334,-0.20767614910812826,0.004346027175424982,0.06598357920400222,-0.006000910142607285,-0.03940985028742017,0.0123487556285935,0.00860296206086053,-0.010380156376381788
6,2015-02-12,Costco Wholesale Corp.  Dumps Deal With American Express Company,HOT,0.021243208159060334,-0.20767614910812826,0.004346027175424982,0.06598357920400222,-0.006000910142607285,-0.03940985028742017,0.0123487556285935,0.00860296206086053,-0.010380156376381788
10,2015-07-30,"Earnings Scheduled For July 30, 2015",HOT,-0.05384157531634781,2.3886110663010163,0.02416372984594717,0.0098859416378414,-0.020590693908904556,-0.013541370666916741,-0.025450647545624983,0.016112681015959973,-0.5687184613919832
13,2015-10-27,"Benzinga's M&A Chatter for Tuesday October 27, 2015",HOT,0.09132002399988148,5.3704530326167825,0.031137198682279488,0.030218580324001154,-0.00982039179808869,-0.04708292274236514,0.0013175883641158848,0.06269223627701836,-0.18642244690986198
16,2015-10-28,Morning Market Gainers,HOT,0.06269223627701836,-0.18642244690986198,0.09132002399988148,0.031137198682279488,0.030218580324001154,-0.00982039179808869,-0.04708292274236514,-0.0077988320364676955,-0.6107505760586258
17,2015-10-28,Benzinga's Top #PreMarket Gainers,HOT,0.06269223627701836,-0.18642244690986198,0.09132002399988148,0.031137198682279488,0.030218580324001154,-0.00982039179808869,-0.04708292274236514,-0.0077988320364676955,-0.6107505760586258
22,2015-12-28,Cantor Sees 24 Spinoffs Coming In 2016,HOT,0.005011599147055401,1.361049723756906,-0.004561187624735119,0.01211777195360586,0.048079866046564,0.0009079024206548603,-0.022918632673900374,0.009688008895299527,0.37007137007137003
26,2016-02-18,"Earnings Scheduled For February 18, 2016",HOT,-0.022703358968665155,0.43722152771099787,0.029366399735852422,0.01609129210950333,0.03059096387150184,0.0012897195432945985,0.013562002695184594,0.01375500997554946,-0.5166938019938889
29,2016-03-14,"The Stocks That Moved The S&P, Dow And Nasdaq Today",HOT,0.07824492028617036,3.992418226992137,0.01542884666987776,-0.0030906764961595723,0.002436860214542813,-0.01732412254954374,0.006378497022028418,0.0028973552778650546,-0.7546444751140275
