,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2009-12-15,"NASDAQ's Most Advanced Today (LIMS, ARRY, SGEN, JASO, JAZZ)",JAZZ,-0.04004713330435239,0.43930957683741645,0.0559701257960481,-0.01228505863046514,-0.01452783077892561,0.14881782519415188,-0.021768687005188192,0.013497008036841951,-0.7368149580915538
1,2010-11-09,"Mad Money Lightning Round: Cramer Likes Honeywell (HON, JAZZ, ICLR, ANDE, DE, TSCO, STD, FCS, BIDU, GOOG, NAT)",JAZZ,-0.014696076359688282,-0.6350846468184472,0.04831936603363296,0.1516129171190852,0.01639342724524062,-0.0016366986355668134,0.08815679119745834,0.015593189304157873,0.503919372900336
2,2011-07-20,Stocks to Watch for Wednesday 7/20/2011: Fresh 52 Week Highs and Lows,JAZZ,-0.014033287992496701,-0.19814421032283003,0.03385272112329618,0.004859619350072064,-0.0008092468180155299,0.05974843281699682,0.01273881340608729,-0.010015742413613582,0.3003857280617166
3,2011-09-20,Benzinga's Volume Movers,JAZZ,0.06995878923571652,3.25636150921322,0.019818193073313672,-0.013115501767874349,0.015183314420241345,-0.006958924444749659,0.002791321870193597,-0.017521361286152892,-0.6350455248239134
4,2011-12-30,ETF Showdown: Fun With Pharma,JAZZ,0.0062516718489844525,0.25359712230215825,0.005763721017993495,-0.026523869926311394,0.0007656656218277824,0.02004687479361067,0.022902812991345556,-0.0010354883360425005,0.7427068388330942
5,2012-01-09,Did John 3:16 Predict These Companies' Successes?,JAZZ,0.06190794031893865,-0.4277843954734961,0.09479016864348222,0.01642554924999451,0.05700960752113193,-0.0010354883360425005,0.0062516718489844525,0.006638997712843597,-0.2106427270361697
6,2012-04-26,"Benzinga's M&A Chatter for Thursday April 26, 2012",JAZZ,-0.003966511699847741,-0.23093447905477982,0.04273898416330901,-0.0032065824584911473,-0.008403337318708792,-0.005421316376442609,-0.011168192872182403,0.14424779530334808,6.504189944134078
7,2012-09-17,Benzinga Mid-Afternoon Market Update ,JAZZ,0.14900253829581178,5.067488178822181,0.0010401339167458445,-0.00988670545374426,0.01484111793913212,0.09825524895233761,-0.022441651013938135,0.031832126829264284,-0.4149250206635966
9,2012-09-17,Benzinga Mid-Day Market Update ,JAZZ,0.14900253829581178,5.067488178822181,0.0010401339167458445,-0.00988670545374426,0.01484111793913212,0.09825524895233761,-0.022441651013938135,0.031832126829264284,-0.4149250206635966
11,2013-02-26,"Earnings Scheduled For February 26, 2013",JAZZ,0.014278120099717295,0.28196411709159586,-0.008318605676161495,0.015456517249918589,-0.035200257391199474,-0.009446977674782864,0.009362013049068807,0.01671646872485333,1.2010901591043015
14,2013-05-07,"Earnings Scheduled For May 7, 2013",JAZZ,0.0001680390173648405,0.44302377747869004,0.013283357681911356,-0.008610473163511156,0.035127547687048066,-0.019365848894051574,0.0029219348238846976,-0.071584581443212,5.499300481890254
17,2013-11-25,"Market Wrap For November 25: Nasdaq Breaks 4,000 Level For First Time Since 2000",JAZZ,0.014734479021520253,0.015119697606047922,-0.010131036350300215,0.022686682174862582,0.01781817349520587,0.008341770030780626,0.006458132227916913,-0.011825063777849754,-0.3720521307405875
21,2013-12-16,Market Wrap For December 16: Dow Posts Triple Point Gain Ahead of Tomorrows Fed Meeting,JAZZ,-0.02043129627897644,1.2776507824863725,-0.007452990856231079,0.0014754223845188097,-0.03686363064418485,0.021343806527981846,0.0007689365788332569,-0.0008022458804398669,-0.6779124527136571
24,2013-12-16,Market Wrap For December 16: Dow Posts Triple Point Gain Ahead of Fed Meeting,JAZZ,-0.02043129627897644,1.2776507824863725,-0.007452990856231079,0.0014754223845188097,-0.03686363064418485,0.021343806527981846,0.0007689365788332569,-0.0008022458804398669,-0.6779124527136571
26,2013-12-20,Market Wrap For December 20: Markets Gain On GDP Data ,JAZZ,0.0801081096898364,4.633383761976803,0.008616171754349589,0.014629789580479224,-0.0008022458804398669,-0.02043129627897644,-0.007452990856231079,0.012105560129675785,-0.686912541401844
28,2013-12-20,Market Wrap For December 20: Markets Gain on GDP Data ,JAZZ,0.0801081096898364,4.633383761976803,0.008616171754349589,0.014629789580479224,-0.0008022458804398669,-0.02043129627897644,-0.007452990856231079,0.012105560129675785,-0.686912541401844
31,2014-01-02,Market Wrap For January 2: Markets Begin 2014 on Negative Note,JAZZ,0.0017383156206309813,-0.1125356125356125,-0.001814049651177374,0.02838835245364324,-0.01846986452950483,0.004880004882812594,-0.003269305877815265,-0.003391704601010015,-0.1508828250401284
35,2014-02-25,"Earnings Scheduled For February 25, 2014",JAZZ,0.01880637978188693,0.5354445354445354,0.01011586915868734,-0.0015267750137206715,5.8694543737303206e-05,-0.009481733744920895,0.0737663779410338,-0.07383700128249526,1.1110650151129025
38,2014-03-07,Market Wrap For March 7: Markets Cap Off Positive Week With Small Gains,JAZZ,0.024821823816182143,0.0733741392501912,-0.038832551643156576,-0.01941261257771565,0.02814734960546983,0.028759529211870305,-0.08804464409345092,-0.02164390937553473,-0.4351700049896643
39,2014-03-07,Market Wrap For March 7: Markets Cap off Positive Week with Small Gains,JAZZ,0.024821823816182143,0.0733741392501912,-0.038832551643156576,-0.01941261257771565,0.02814734960546983,0.028759529211870305,-0.08804464409345092,-0.02164390937553473,-0.4351700049896643
43,2014-03-31,Market Wrap For March 31: Stocks Rally as Yellen Confirms Support for Economy,JAZZ,0.03911273564600881,-0.22306562193927526,-0.03289850207342615,0.011730250550670007,-0.0022676673407797665,-0.004442183060122673,-0.04546081786727185,0.007931974052575175,-0.007458766677171935
44,2014-03-31,Market Wrap For March 31: Stocks Rally As Yellen Confirms Support For Economy,JAZZ,0.03911273564600881,-0.22306562193927526,-0.03289850207342615,0.011730250550670007,-0.0022676673407797665,-0.004442183060122673,-0.04546081786727185,0.007931974052575175,-0.007458766677171935
47,2014-04-17,Market Wrap For April 17: Mixed Earnings Drag The Dow Lower While S&P 500 & Nasdaq End Positive,JAZZ,0.00044083435637842783,0.2923431063726678,0.039645575557404555,0.020740769295199746,-0.0027991649843953637,-0.007715454018138002,-0.05331971993641926,0.015937118908503578,-0.4780163119902503
