,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2015-07-20,Stocks Hitting 52-Week Highs,PYPL,0.054180824801355554,0.14361923176189073,-0.006212831266652286,0.02985877890426547,0.015705334729610998,0.004078345047780152,,-0.027674887887304433,-0.3697302362942634
3,2015-08-11,A Surprising Buffett ETF,PYPL,-0.005121658562022291,0.02314068184375362,-0.0020445138990776712,0.0072072742597573125,-0.010695237554028236,0.008215653107989107,-0.011170313113145536,-0.016988413728040497,1.608822091886608
5,2015-10-28,"Lifelock, Yelp Surge Following Earnings Report; B-Dubs, GoPro Crash",PYPL,0.01613805935495094,0.36835481746330445,-0.013721186027529697,0.041440322340268176,0.005748800163158041,0.028377151419229696,-0.02982498229671915,-0.016703192845165638,1.1606198911838272
7,2015-10-28,"Lifelock, Yelp Surges Following Earnings Report, B-Dubs, GoPro Crashing",PYPL,0.01613805935495094,0.36835481746330445,-0.013721186027529697,0.041440322340268176,0.005748800163158041,0.028377151419229696,-0.02982498229671915,-0.016703192845165638,1.1606198911838272
9,2015-10-28,"Keep an Eye on These 10 Stocks for October 28, 2015",PYPL,0.01613805935495094,0.36835481746330445,-0.013721186027529697,0.041440322340268176,0.005748800163158041,0.028377151419229696,-0.02982498229671915,-0.016703192845165638,1.1606198911838272
11,2015-10-28,"Earnings Scheduled For October 28, 2015",PYPL,0.01613805935495094,0.36835481746330445,-0.013721186027529697,0.041440322340268176,0.005748800163158041,0.028377151419229696,-0.02982498229671915,-0.016703192845165638,1.1606198911838272
15,2015-11-04,"PayPal Finds Another ETF Home, Will Join QQQ",PYPL,-0.007915647484946997,0.01676479393274133,0.024601238337922382,0.027214757084494945,0.0027846971469229764,-0.016703192845165638,0.01613805935495094,-0.023670197493784406,-0.25827689992475544
19,2015-11-12,This May Be Why Paypal's Stock Continues To Fall,PYPL,-0.020919408145496532,-0.07260333006856023,-0.01810805862014353,0.010929003894951883,0.009933685954220062,-0.012802980597312441,-0.023670197493784406,-0.02923814800253355,-0.3777912959724229
21,2015-11-12,An Apple Peer-To-Peer Payment System Is Scaring Paypal Investors,PYPL,-0.020919408145496532,-0.07260333006856023,-0.01810805862014353,0.010929003894951883,0.009933685954220062,-0.012802980597312441,-0.023670197493784406,-0.02923814800253355,-0.3777912959724229
23,2015-11-19,"Early Global News: Starboard Asks Yahoo Not To Spin Off Alibaba, China's Tinder & KaloBios",PYPL,-0.0008283432629204723,-0.3943002006463938,0.00027622580732833413,0.016849156524492592,0.03127720443773141,-0.02923814800253355,-0.020919408145496532,0.004697485219496977,-0.0987642076448535
25,2015-11-19,"Early Global News . Thursday . November 19, 2015",PYPL,-0.0008283432629204723,-0.3943002006463938,0.00027622580732833413,0.016849156524492592,0.03127720443773141,-0.02923814800253355,-0.020919408145496532,0.004697485219496977,-0.0987642076448535
28,2015-11-20,"Early Global News: Mali Radisson Attack, Depomed-Horizon Fallout, EU Cracking Down On Bitcoin",PYPL,0.004697485219496977,-0.0987642076448535,-0.0008283432629204723,0.00027622580732833413,0.016849156524492592,0.03127720443773141,-0.02923814800253355,-0.022002178867752575,0.5321125148567152
29,2015-11-20,"Early Global News . Friday . November 20, 2015",PYPL,0.004697485219496977,-0.0987642076448535,-0.0008283432629204723,0.00027622580732833413,0.016849156524492592,0.03127720443773141,-0.02923814800253355,-0.022002178867752575,0.5321125148567152
32,2015-11-25,"Early Global News: Ebola In Liberia, Boeing To Roll Out 737 MAX Next Month, Google Testing SMS Alerts",PYPL,0.006833760984226611,-0.5373356694199116,-0.012373521496451212,-0.022002178867752575,0.004697485219496977,-0.0008283432629204723,0.00027622580732833413,-0.005090506280225782,-0.34324282549332785
33,2015-11-25,"Early Global News . Wednesday . November 25, 2015",PYPL,0.006833760984226611,-0.5373356694199116,-0.012373521496451212,-0.022002178867752575,0.004697485219496977,-0.0008283432629204723,0.00027622580732833413,-0.005090506280225782,-0.34324282549332785
36,2015-12-02,5 Things To Consider When Preparing For A Santa Claus Rally,PYPL,-0.0005685710579326209,-0.6131033510363303,-0.002552471834149972,0.002273962923918793,-0.005090506280225782,0.006833760984226611,-0.012373521496451212,-0.026173597260450543,0.2688983756768013
38,2016-01-27,Earnings Recap For January 27,PYPL,-0.011886117263939622,0.4751885807125449,0.015888147788672535,-0.006942291479821394,0.01570512048513173,0.0,-0.031055899885286564,0.08388735400692338,0.6031372672419897
44,2016-01-27,"Earnings Scheduled For January 27, 2016",PYPL,-0.011886117263939622,0.4751885807125449,0.015888147788672535,-0.006942291479821394,0.01570512048513173,0.0,-0.031055899885286564,0.08388735400692338,0.6031372672419897
47,2016-01-28,"In A Shifting Media Landscape, One Thing Stays The Same— Super Bowl Ads",PYPL,0.08388735400692338,0.6031372672419897,-0.011886117263939622,0.015888147788672535,-0.006942291479821394,0.01570512048513173,0.0,0.05549058463909273,0.04036096689664648
49,2016-01-28,"In A Shifting Media Landscape, One Thing Stays The Same— Superbowl Ads",PYPL,0.08388735400692338,0.6031372672419897,-0.011886117263939622,0.015888147788672535,-0.006942291479821394,0.01570512048513173,0.0,0.05549058463909273,0.04036096689664648
51,2016-01-28,"In A Shifting Media Landscape, One Thing Stays The Same: Super Bowl Ads",PYPL,0.08388735400692338,0.6031372672419897,-0.011886117263939622,0.015888147788672535,-0.006942291479821394,0.01570512048513173,0.0,0.05549058463909273,0.04036096689664648
52,2016-01-28,In A Shifting Media Landscape One Thing Stays The Same— Superbowl Ads,PYPL,0.08388735400692338,0.6031372672419897,-0.011886117263939622,0.015888147788672535,-0.006942291479821394,0.01570512048513173,0.0,0.05549058463909273,0.04036096689664648
55,2016-02-10,10 Stocks Moving In Wednesday's Pre-Market Session,PYPL,0.006116231139851269,-0.47463988515256217,-0.02707527018407252,-0.041630997923508106,-0.05649713687302771,0.004323151976989292,0.004887224586742844,0.018844951462907433,0.5249348694494298
59,2016-03-02,"Benzinga's M&A Chatter for Wednesday March 2, 2016",PYPL,-0.0022929975181628093,-0.08444264587903705,0.029103320086911966,0.017337894960804512,0.02041371708590778,0.007403357519231379,0.027903091635846033,-0.003575061036617644,-0.4062531502260408
62,2016-03-08,Stifel Has 'Many Questions' About American Express,PYPL,-0.021036421355924317,0.12867923111578317,-0.001536920386370988,0.000512569388237738,-0.003575061036617644,-0.0022929975181628093,0.029103320086911966,0.010744230845166403,-0.17000681889999503
64,2016-03-28,Why Did This Apple Rumor Hurt PayPal Investors?,PYPL,-0.0046247815762267,-0.588254457933859,-0.03948672928782748,-0.019361065899542007,0.00437531132343838,0.04389747650176479,-0.013022801246917792,0.020392283598407612,-0.0805599961245943
68,2016-03-28,"The Market In 5 Minutes: Monday, March 28, 2016",PYPL,-0.0046247815762267,-0.588254457933859,-0.03948672928782748,-0.019361065899542007,0.00437531132343838,0.04389747650176479,-0.013022801246917792,0.020392283598407612,-0.0805599961245943
72,2016-03-30,"Mr. Market Needs To View PayPal As A 'Merchant Acquirer,' Analyst Says",PYPL,-0.012395595216313504,-0.0785388127853881,0.020392283598407612,-0.0046247815762267,-0.03948672928782748,-0.019361065899542007,0.00437531132343838,-0.011270554074993555,0.541320423877411
78,2016-04-15,The Market In 5 Minutes: Baby We Were Born To Run,PYPL,-0.001552731872191071,0.14147531697965232,-0.003867015270393126,0.02619052112297826,-0.006831374851523964,-0.009112170671999542,0.0033960572690912016,0.027475311256738078,0.22776547828078475
82,2016-04-22,Citi Raises Target On PayPal Ahead Of Wednesday's Q1 Results,PYPL,0.00523698022845176,0.16147958262627715,0.0004989182173866791,0.021406730801666773,-0.010090759771456903,0.027475311256738078,-0.001552731872191071,-0.012155833832133478,0.23318671412362635
86,2016-04-27,"12 Stocks To Watch For April 27, 2016",PYPL,0.007047540461187607,1.4145545606313554,-0.002260174617720767,-0.012155833832133478,0.00523698022845176,0.0004989182173866791,0.021406730801666773,0.0014996594803335928,0.39853546623086844
90,2016-04-27,"Earnings Scheduled For April 27, 2016",PYPL,0.007047540461187607,1.4145545606313554,-0.002260174617720767,-0.012155833832133478,0.00523698022845176,0.0004989182173866791,0.021406730801666773,0.0014996594803335928,0.39853546623086844
93,2016-04-28,"Must Watch Stocks for April 28, 2016",PYPL,0.0014996594803335928,0.39853546623086844,0.007047540461187607,-0.002260174617720767,-0.012155833832133478,0.00523698022845176,0.0004989182173866791,-0.02221111545861576,-0.43812359550561797
96,2016-05-16,It's 13F Season: All Of Carl Icahn's Positions,PYPL,-0.004559278299464342,0.7526631441240932,-0.0007592705788733722,-0.00503653406070359,-0.009972613308205092,0.012367533863623104,0.003546083872130401,-0.005979659412561844,0.041692516479255426
98,2016-06-06,TD Ameritrade's IMX Growth Hits Record High In May: Check Out Clients' Picks & Pans,PYPL,-0.006000609077645436,0.016024869634977845,-0.005964718206562081,0.00652571106860611,0.01376026581544787,-0.007876062899941028,0.0005253600715524609,-0.013910729672518718,0.2484257486330168
102,2016-06-13,PayPal Sells Off As Apple Pay Comes To The Web,PYPL,-0.006255086738454652,0.06130674038287642,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,-0.013910729672518718,-0.006000609077645436,0.016967676966348932,0.2514483933787732
106,2016-06-14,The Market In 5 Minutes: FOMC To Being 2-Day Policy Meeting,PYPL,0.016967676966348932,0.2514483933787732,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,-0.013910729672518718,-0.008611401941286734,-0.3102442155632714
107,2016-06-14,"The Market In 5 Minutes: M&A, WWDC & LeBron",PYPL,0.016967676966348932,0.2514483933787732,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,-0.013910729672518718,-0.008611401941286734,-0.3102442155632714
109,2016-06-14,Apple's 3 Most Important WWDC Announcements,PYPL,0.016967676966348932,0.2514483933787732,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,-0.013910729672518718,-0.008611401941286734,-0.3102442155632714
111,2016-06-14,"What Apple Pay's Journey To Safari Means For PayPal, Visa And Mastercard",PYPL,0.016967676966348932,0.2514483933787732,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,-0.013910729672518718,-0.008611401941286734,-0.3102442155632714
112,2016-06-14,Gene Munster Says Apple Pay A Legitimate Threat To PayPal's Staying Power,PYPL,0.016967676966348932,0.2514483933787732,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,-0.013910729672518718,-0.008611401941286734,-0.3102442155632714
117,2016-06-15,"MasterCard CFO Has Confident, Upbeat Tone During William Blair Growth Stock Conference Presentation",PYPL,-0.008611401941286734,-0.3102442155632714,0.016967676966348932,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,-0.0005323518212970724,0.003528802051486979,-0.1390298928369994
121,2016-06-16,"Here's Where Gates, Musk And Other Tech Tycoons Cut Their Teeth",PYPL,0.003528802051486979,-0.1390298928369994,-0.008611401941286734,0.016967676966348932,-0.006255086738454652,-0.009695680042969501,-0.011185038015414595,0.0,0.3015230920406158
123,2016-06-17,The Market In 5 Minutes: Quiet Friday Ahead Of Father's Day,PYPL,0.0,0.3015230920406158,0.003528802051486979,-0.008611401941286734,0.016967676966348932,-0.006255086738454652,-0.009695680042969501,-0.0029754018587904163,-0.01981855016295253
127,2016-07-20,Earnings: Can GM Power Its Way into the Self-Driving Business?,PYPL,0.01727204276414307,0.37795101045553636,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.017311617268536805,0.01263206631102154,0.0019975488783694484,0.1943141092670546
132,2016-07-21,Earnings Parade: Technology Shines While Other Sectors Also Out-Perform,PYPL,0.0019975488783694484,0.1943141092670546,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.017311617268536805,-0.06753059623821234,1.7236760381043603
134,2016-07-21,"Earnings Scheduled For July 21, 2016",PYPL,0.0019975488783694484,0.1943141092670546,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.017311617268536805,-0.06753059623821234,1.7236760381043603
137,2016-07-22,Digging Into Paypal's Q2 Earnings,PYPL,-0.06753059623821234,1.7236760381043603,0.0019975488783694484,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.009620540565667968,-0.535567198665835
139,2016-07-22,The Market In 5 Minutes: The Dow's Win Streak Comes To An End,PYPL,-0.06753059623821234,1.7236760381043603,0.0019975488783694484,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.009620540565667968,-0.535567198665835
141,2016-07-22,12 Biggest Mid-Day Losers For Friday,PYPL,-0.06753059623821234,1.7236760381043603,0.0019975488783694484,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.009620540565667968,-0.535567198665835
144,2016-07-22,"12 Stocks To Watch For July 22, 2016",PYPL,-0.06753059623821234,1.7236760381043603,0.0019975488783694484,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.009620540565667968,-0.535567198665835
147,2016-07-22,15 Stocks Moving In Friday's Pre-Market Session,PYPL,-0.06753059623821234,1.7236760381043603,0.0019975488783694484,0.01727204276414307,0.011562198975089144,-0.00434898907595227,-0.02177174554097583,0.009620540565667968,-0.535567198665835
151,2016-08-15,How Twilio's Performance Ranks Among Some Of The Most High-Profile IPOs,PYPL,-0.0012983443064080724,-0.30326751328911283,0.0013000321958076544,0.010244270889801399,-0.0007873695668846326,0.0050118340140787865,-0.0049868407957558425,-0.0020800316760725135,0.3567565190624862
153,2016-09-13,Just 4 Dow Stocks Traded Green Today,PYPL,0.02811452514103907,1.075842501447597,0.01999479531152515,-0.032085615521844635,0.018412838671848286,0.037116757847985404,0.002967375539712158,0.002508742413193099,-0.27240319332325424
155,2016-09-13,"Apple, PayPal A Couple Of The Only Stocks That Traded Green Today",PYPL,0.02811452514103907,1.075842501447597,0.01999479531152515,-0.032085615521844635,0.018412838671848286,0.037116757847985404,0.002967375539712158,0.002508742413193099,-0.27240319332325424
157,2016-09-15,The Market In 5 Minutes: Apple Helps Lead Stocks Higher,PYPL,0.021771841003872527,-0.026015748997477384,0.002508742413193099,0.02811452514103907,0.01999479531152515,-0.032085615521844635,0.018412838671848286,-0.0031839593995892645,-0.06245867052933207
159,2016-10-11,Q3 Could Be Quite The Catalyst For PayPal,PYPL,-0.016808880416037453,0.500097940241385,-0.0005015159786357914,-0.0074663821498752725,-0.006429236655846049,-0.008337424295375429,0.004680922049636216,0.00867568676963848,-0.29287744709061136
160,2016-10-20,"Earnings Scheduled For October 20, 2016",PYPL,-0.003727671958800527,1.0246064635608785,0.010293744126630644,0.008865306303864617,0.0061161532493316795,0.001020431498694352,-0.008348040135287116,0.10127217155994295,1.8157225866916589
161,2016-10-21,15 Biggest Mid-Day Gainers For Friday,PYPL,0.10127217155994295,1.8157225866916589,-0.003727671958800527,0.010293744126630644,0.008865306303864617,0.0061161532493316795,0.001020431498694352,-0.006342074389963814,-0.49196771642430903
162,2016-10-21,Tech Earnings Reflect Conscious Attempts At Circumventing Headwinds,PYPL,0.10127217155994295,1.8157225866916589,-0.003727671958800527,0.010293744126630644,0.008865306303864617,0.0061161532493316795,0.001020431498694352,-0.006342074389963814,-0.49196771642430903
