,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-10-26,A Peek Into The Market Before The Trading Starts,SAH,0.008474642972392976,1.3723832528180355,-0.0028169235171017215,-0.006529801058936968,0.023877514414368584,0.020467564631936552,-0.043802443101520594,0.0009336127448122955,-0.33593529045760506
1,2011-07-26,Stocks to Watch for Tuesday 7/26/2011: Fresh 52 Week Highs and Lows,SAH,0.027249523962753264,0.027703039362232174,0.008306563295488179,0.005784125853454558,0.048517703141436774,-0.009346073200866445,0.026027597896735477,-0.0549044766335437,-0.4729952487152138
2,2012-02-29,"Morning Social Media Outlook for Wednesday Feb 29 (SAH, DPZ, STEC, NOG)",SAH,-0.02725793750304606,-0.25886654478976234,0.0538604835031129,0.005415117367124855,0.0012048885159035017,0.009118311109850064,-0.02489616318588883,0.03035628135945756,0.43917118894918605
3,2012-07-23,US Stock Futures Signal Lower Start On Wall Street,SAH,0.0006075662792763836,0.34434444671712017,-0.024317871597227314,0.015051105324624281,0.027846785952156727,0.01891524841680603,0.0031627721261302533,0.02308626657905455,-0.3516926588056295
6,2012-07-23,Stocks To Watch For July 23,SAH,0.0006075662792763836,0.34434444671712017,-0.024317871597227314,0.015051105324624281,0.027846785952156727,0.01891524841680603,0.0031627721261302533,0.02308626657905455,-0.3516926588056295
9,2012-07-23,Earnings Scheduled For July 23,SAH,0.0006075662792763836,0.34434444671712017,-0.024317871597227314,0.015051105324624281,0.027846785952156727,0.01891524841680603,0.0031627721261302533,0.02308626657905455,-0.3516926588056295
12,2012-10-15,Benzinga Mid-Afternoon Market Update ,SAH,-0.0796506921582687,6.137254901960785,0.008813099609551234,-0.0015527857368500264,-0.009230714490291114,-0.019607834692898063,0.007087982935927828,0.020658644115137514,-0.7679487179487179
16,2012-10-15,Benzinga Mid-Day Market Update ,SAH,-0.0796506921582687,6.137254901960785,0.008813099609551234,-0.0015527857368500264,-0.009230714490291114,-0.019607834692898063,0.007087982935927828,0.020658644115137514,-0.7679487179487179
20,2012-10-23,"Earnings Scheduled For October 23, 2012",SAH,0.025315860442372662,0.6246669204415682,-0.004928424439327839,-0.03488384464447569,0.011764554989434739,0.02297638024221782,0.020658644115137514,0.017713721487325973,-0.048266166822867884
21,2012-10-23,US Stock Futures Down; Facebook Earnings In Focus,SAH,0.025315860442372662,0.6246669204415682,-0.004928424439327839,-0.03488384464447569,0.011764554989434739,0.02297638024221782,0.020658644115137514,0.017713721487325973,-0.048266166822867884
26,2013-04-23,"Earnings Scheduled For April 23, 2013",SAH,0.005205991460386361,0.5699071545603496,0.012457759419355119,0.02203766591914591,-0.015903884988500594,-0.02673505111497343,-0.007911005119376924,0.00847436401532109,-0.285614889546008
29,2013-07-23,"Earnings Scheduled For July 23, 2013",SAH,-0.00659925791092697,1.084507042253521,0.013827258361611472,-0.017958707732092294,-0.013822857532675648,0.014460604471334904,-0.012121175726606759,-0.013729181426584969,0.2510557432432432
32,2013-10-01,"Market Primer: Tuesday, October 1: Markets Resilient As US Government Shuts Down",SAH,0.01890772185416223,-0.11449886474213433,0.007620670392624707,0.00042358502645445384,0.0029734589445851167,-0.007169943854322236,-0.003781383133099947,0.010309353576119173,-0.14578754578754582
38,2014-04-22,"Earnings Scheduled For April 22, 2014",SAH,0.040622262814155485,1.061261261261261,-0.0030160252464704884,0.00825365755379992,0.010092415243707631,-0.001751916997900116,0.004841377309715567,-0.0033221247038076607,0.02202797202797213
41,2014-07-22,Morning Market Losers ,SAH,-0.051546457012427105,4.8163672654690615,-0.006825904454908938,0.026868964334512135,-0.01872354561007894,-0.0034270874022627185,-0.017583503731531724,-0.0012078660867038682,-0.20307137954701437
44,2014-10-21,"Earnings Scheduled For October 21, 2014",SAH,-0.013530914816850315,1.006825938566553,0.003504235253064314,0.003957703572054827,-0.010874177071205637,0.023597461682993925,0.027447289767356775,-0.008849929170126392,-0.530045351473923
47,2015-02-24,"Earnings Scheduled For February 24, 2015",SAH,-0.03736539460484278,2.960972850678733,0.002316780858100831,0.00038615634817529276,0.011327959372210872,-0.010818933416261056,-0.0003863202167719848,0.005602333390234637,-0.08125089247465367
50,2015-04-21,"Earnings Scheduled For April 21, 2015",SAH,-0.0037021734677422646,0.8065625000000001,0.01123108236000725,-0.02196886878636306,-0.0072696920977946,0.004462601375185837,-0.012024309181865478,0.009083395355913737,0.1041342328316901
53,2015-07-20,"Earnings Scheduled For July 20, 2015",SAH,-0.023809594996841432,-0.536124935644414,0.003645244968829786,0.013130748089905664,0.004120265706550663,-0.005327548960503803,0.034336557089120534,-0.01777591482290286,0.4931557528671846
