,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2012-11-13,"Earnings Scheduled For November 13, 2012",VIPS,0.01614350360696304,-0.055288461538461564,-0.03630072435359355,0.0017315794808090423,0.05287143881265366,0.07024393012451391,0.011845967007387825,0.09885259219176001,6.206106870229007
3,2013-08-14,"Earnings Scheduled For August 14, 2013",VIPS,0.01322760639193099,-0.37942271880819367,-0.06820054509108486,-0.02072020921361395,0.019483237990348456,0.058849056965213586,-0.02622120323083632,-0.13925153999409245,0.9013086604984579
6,2013-11-12,Market Wrap For November 12: Investors Continue to Speculate on the Fed's Tapering Measures ,VIPS,0.1522095211610477,1.0999264044484423,-0.0208333519067182,0.05897324438487339,-0.03256258251194344,-0.04232179710628825,-0.034046329910961015,0.02971122226775358,-0.5388629283489097
8,2013-11-12,Market Wrap For November 12: Investors Continue To Speculate On The Fed's Tapering Measures ,VIPS,0.1522095211610477,1.0999264044484423,-0.0208333519067182,0.05897324438487339,-0.03256258251194344,-0.04232179710628825,-0.034046329910961015,0.02971122226775358,-0.5388629283489097
12,2013-12-10,Market Wrap For December 10: Fed Meeting One Week Away,VIPS,0.0019925024331759467,3.235774058577406,-0.02725625419145916,0.011146565639173156,-0.017332698621798204,-0.022588281070484828,0.011302828084115424,-0.02622414879880408,-0.750728502988097
16,2014-02-21,Market Wrap For February 21: Markets End the Week on a Negative Note,VIPS,-0.03551071832122543,0.8853503184713376,0.019031391750086835,-0.03483954281200863,0.013104981411016459,-0.0008729249821456397,0.07922756241917583,0.01836360584605834,-0.2307534807534808
17,2014-02-21,Market Wrap For February 21: Markets End The Week On A Negative Note,VIPS,-0.03551071832122543,0.8853503184713376,0.019031391750086835,-0.03483954281200863,0.013104981411016459,-0.0008729249821456397,0.07922756241917583,0.01836360584605834,-0.2307534807534808
20,2014-03-04,Stocks Hitting 52-Week Highs,VIPS,0.32443640393422,2.474177958874254,-0.027109347199326117,0.12653345059619991,-0.0032492610348968665,0.0666727438325827,-0.02124619917950976,0.013415353497506777,-0.7080435316258898
23,2014-03-04,Market Wrap For March 4: Bulls Take Over as Ukraine Fears Dissipate,VIPS,0.32443640393422,2.474177958874254,-0.027109347199326117,0.12653345059619991,-0.0032492610348968665,0.0666727438325827,-0.02124619917950976,0.013415353497506777,-0.7080435316258898
24,2014-03-04,Market Wrap For March 4: Bulls Take Over As Ukraine Fears Dissipate,VIPS,0.32443640393422,2.474177958874254,-0.027109347199326117,0.12653345059619991,-0.0032492610348968665,0.0666727438325827,-0.02124619917950976,0.013415353497506777,-0.7080435316258898
