date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume,label
2009-11-16,"Company News for November 16, 2009 - Corporate Summary",LOW,-0.0050343735512484,0.4675465732547823,0.0176990282672071,0.0079814433968845,0.0138024829173599,-0.011293894286799,,-0.0119593239839094,-0.3899082035563856,1
2009-11-17,"The Home Depot, Inc. (NYSE: HD) Beat Estimates by 5c, Lifts Guidance",LOW,-0.0119593239839094,-0.3899082035563856,-0.0050343735512484,0.0176990282672071,0.0079814433968845,0.0138024829173599,-0.011293894286799,0.0051205282124746,-0.1433434743119906,0
2009-11-23,Lumber Liquidators is targeting 400 stores in North America,LOW,0.0248238947924044,0.2885682751173186,-0.006514005821932,-0.0046316471416337,0.0051205282124746,-0.0119593239839094,-0.0050343735512484,0.0059414560698221,-0.1740006531879887,0
2009-12-17,Modest Outlook On Building Products,LOW,0.0,-0.1029546126795281,-0.012916981462718,-0.0070334070314246,0.0121438449469402,0.0342142867997414,0.012275038085983,-0.0029547414631864,0.3331159505246497,2
2010-02-17,Home Depot Upgraded At Oppenheimer (HD),LOW,0.0136324757468497,0.3092140378969843,0.0261731883987028,-0.0004508953049806,0.0169725847465451,-0.0018318260713318,0.0036767902931229,0.0043383786877002,-0.2720006794920796,2
2010-02-19,Lowe's To Report Earnings Monday Morning (LOW),LOW,-0.0008642400679813,1.2037661443688674,0.0043383786877002,0.0136324757468497,0.0261731883987028,-0.0004508953049806,0.0169725847465451,-0.0025939207210703,0.3664360173013494,2
2010-02-24,"US Retailers Post Improved Results; Consumer Confidence Falls To Lowest Level In 10 Months (LOW, HD, SHLD, TGT, M)",LOW,0.0363874733402362,-0.0057375820618124,-0.0112700082324839,-0.0025939207210703,-0.0008642400679813,0.0043383786877002,0.0136324757468497,0.007614186800404,0.0127413499921609,0
2010-05-17,"Stocks To Watch For May 17 (LOW, GS, A, BBI, AIG)",LOW,-0.0310698341470911,1.419800542043824,-0.0068576190449172,-0.0299330432819524,-0.0014762751310931,0.0149813074425457,0.0549191634970451,-0.0221692573579808,-0.3452045435135366,1
2010-05-17,Retail Stocks Sink As LOW’s Forecast Misses Estimates,LOW,-0.0310698341470911,1.419800542043824,-0.0068576190449172,-0.0299330432819524,-0.0014762751310931,0.0149813074425457,0.0549191634970451,-0.0221692573579808,-0.3452045435135366,1
2010-06-11,Retail Sector In The Red Today As US Retail Sales Fall For First Time Since September,LOW,-0.0151004193961948,-0.1470019342359767,0.0240542668751504,-0.003850896510664,-0.0008547038392655,-0.0055272172244578,-0.0376433658305384,-0.0012775506712998,-0.0380056784618609,2
2010-06-16,Bleak Housing Starts Data Leads Retail Sector In The Red Today,LOW,-0.0305059478994127,0.8294261686369748,0.0204693144677379,-0.0012775506712998,-0.0151004193961948,0.0240542668751504,-0.003850896510664,-0.0224137118739978,0.2244274390411147,1
2010-06-28,Retail Sector Recovers Slightly After Tripping,LOW,-0.0046881597247132,-0.6234898697879941,0.0042368472364413,-0.0279175394287639,0.004136373592211,-0.0333186950162667,-0.0048628030875385,-0.0296751927853308,1.0810287783257384,1
2010-07-01,"Retail Sector Moves Into The Red, After Briefly Moving Up",LOW,-0.0004895083916984,0.9921802681806562,-0.0087377762208502,-0.0296751927853308,-0.0046881597247132,0.0042368472364413,-0.0279175394287639,-0.0068589454772978,-0.4724372165062507,1
2010-07-01,"Afternoon Market Update (DAL, PNCL, FOE, HD, LOW)",LOW,-0.0004895083916984,0.9921802681806562,-0.0087377762208502,-0.0296751927853308,-0.0046881597247132,0.0042368472364413,-0.0279175394287639,-0.0068589454772978,-0.4724372165062507,1
2010-07-06,"Goldman Sachs Cuts Estimates On Home Improvement Stocks (LOW, HD) ",LOW,-0.0152939186854973,0.3473275399275264,-0.0068589454772978,-0.0004895083916984,-0.0087377762208502,-0.0296751927853308,-0.0046881597247132,0.0215436978269032,0.1570011766683476,0
2010-08-16,"Afternoon Market Update (LOW, HD, AMGN)",LOW,0.0056153363500497,0.882962694675842,-0.0075990120848594,-0.0035334261462198,-0.0055223691299979,-0.0192021987380665,0.0014790276703635,0.0147209950144981,-0.2997080129105227,0
2010-08-18,Cramer Sees Bidding War Intensifying For Potash,LOW,0.0400194901627741,0.0771001340394208,0.0147209950144981,0.0056153363500497,-0.0075990120848594,-0.0035334261462198,-0.0055223691299979,-0.0187584612681482,-0.0909466468779166,1
2010-09-14,Tickerspy.com Announces Stock Index Tracking Hurricane Stocks ,LOW,-0.0082917292452016,0.4935880779518533,0.0088295432115184,-0.0023178460634329,0.001392177916611,0.0004649408520889,-0.0195808606810095,-0.0023220411147528,-0.1645449149593728,2
2010-09-20,"News Summary (IBM, NZ, DFS, HD, LOW, LEN)",LOW,0.0209324940620061,-0.2502669272144886,-0.0136088039503963,-0.0079144937928297,-0.0023220411147528,-0.0082917292452016,0.0088295432115184,0.0107178334466448,0.1698552593866438,0
2010-10-11,5 Stocks That Are a Better Buy Than Bonds,LOW,-0.0048459033467296,-0.6190326472416188,0.0030932186301708,-0.0017640290047299,0.0,0.019334660710478,-0.0049220048334972,-0.0243470793467144,3.1603362570293454,1
2010-11-15,"News Summary (LOW, BUCY, CAT)",LOW,-0.0106042114613544,0.4856843333009344,-0.0273540942834678,0.0201281924846614,0.009699734317019,-0.0199188269067714,-0.0089727246020282,0.0051258973781611,0.0586929601158905,0
