date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume,label
2010-04-26,US Stock Futures Point To Bright Day At The Market,RSH,0.0634739910915969,-0.8782608695652174,-0.0069200179734244,0.0674188065294749,-0.0202631699411492,-0.0104167059891737,0.0026110258697236,-0.0440791573745721,50.96428571428572,1
2010-06-01,"Radio Shack Auction Heating Up, NY Post Says",RSH,-0.0204141498664603,-0.25,0.009937677056389,-0.0001483336227969,-0.0595536516709864,-0.0550869854569939,-0.0002635608966901,-0.0194901871340721,9.0,1
2010-06-01,News Summary,RSH,-0.0204141498664603,-0.25,0.009937677056389,-0.0001483336227969,-0.0595536516709864,-0.0550869854569939,-0.0002635608966901,-0.0194901871340721,9.0,1
2010-07-14,A Peek Into The Market Before The Opening Bell,RSH,0.0566037735849056,-0.95004995004995,-0.0460762719777654,0.0040479801461463,-0.0296015803379111,-0.0020999793537455,-0.0059838616966813,0.0220000130789621,-0.1999999999999999,0
2010-10-25,"Stocks To Watch For October 25 (RSH, CCE, AMGN, TXN, LO)",RSH,0.0940094110837022,0.0,-0.0736651412499089,0.0220000130789621,0.0566037735849056,-0.0460762719777654,0.0040479801461463,-0.0255172203327047,-0.3333333333333333,1
2010-10-25,US Stock Futures Up After G-20 Nations Meeting,RSH,0.0940094110837022,0.0,-0.0736651412499089,0.0220000130789621,0.0566037735849056,-0.0460762719777654,0.0040479801461463,-0.0255172203327047,-0.3333333333333333,1
2010-10-25,"Earnings Scheduled For October 25 (LO, CR, TXN, NS, SNV, RSH, AMGN, IVZ, ROP, HRS, MAS, LUX, WRB, PCL)",RSH,0.0940094110837022,0.0,-0.0736651412499089,0.0220000130789621,0.0566037735849056,-0.0460762719777654,0.0040479801461463,-0.0255172203327047,-0.3333333333333333,1
2011-01-24,A Peek Into The Market Before The Trading Starts,RSH,-0.0062312830734209,-0.9057334710743802,-0.0040082437713004,-0.0361415952528125,-0.0039721909697362,0.004488785836038,0.0061472571747271,0.079947679597734,-0.6164383561643836,0
2011-06-16,Stocks to Watch for 6/16/11: Fresh 52-Week Highs and Lows,RSH,-0.0124822389650737,32.333333333333336,-0.0294433092455369,0.0032307551457331,-0.0013826446912585,-0.0334125352295865,-0.0034039271566137,0.0112000122070312,9.17,0
2011-07-05,Hottest and Coldest Sectors For the First Half of 2011,RSH,0.0421173332603153,-0.9,-0.0183397585657474,-0.0319264797740245,0.0159809859072892,0.0112000122070312,-0.0124822389650737,-0.0045604798683986,1.0,2
2011-11-01,RadioShack Gets Some Livio Love This Christmas,RSH,0.0,7.0,-0.0019268263175,0.1047254583137951,0.1486552026779359,0.009129108258721,-0.0674183241348159,-0.0409266209094459,4.0,1
2012-02-10,"Benzinga's M&A Chatter for Friday February 10, 2012",RSH,0.0,,0.0,0.0,0.0,0.0,0.10040910465691,-0.0593106136892582,inf,1
2012-02-21,US Stock Futures Up Ahead Of Earnings Reports,RSH,0.0,-1.0,-0.0174240603181294,0.0,0.0,0.0,-0.0593106136892582,0.0,,2
2012-02-21,Earnings Scheduled For February 21,RSH,0.0,-1.0,-0.0174240603181294,0.0,0.0,0.0,-0.0593106136892582,0.0,,2
2012-02-21,Earnings Roundup,RSH,0.0,-1.0,-0.0174240603181294,0.0,0.0,0.0,-0.0593106136892582,0.0,,2
2012-04-24,"Morning Social Media Outlook for Tueday April 24 (ALGN, COH, RSH, BIG)",RSH,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2012-04-24,Earnings Scheduled For April 24,RSH,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2012-04-24,Can Dinosaur Radioshack Evolve?,RSH,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2012-04-30,Microsoft Pumps $300 Million into Barnes & Noble,RSH,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2012-05-10,It Would Take an Atomic Bomb to Stop This Firm,RSH,0.0,,0.0,0.0,0.019071271495332,-0.0596490761033603,0.0,0.0,,2
2012-05-10,Five Companies Technology Could Bankrupt Within Five Years,RSH,0.0,,0.0,0.0,0.019071271495332,-0.0596490761033603,0.0,0.0,,2
2012-11-21,These 10 Stocks are Heavily Shorted,RSH,0.0,,0.0,-0.0961820467657521,0.0,0.0,0.0,-0.023761209255893,inf,1
2013-02-19,How Apple Might Benefit from the Office Max and Office Depot Merger,RSH,0.0277512226043747,0.0,0.0312500254888286,0.0298102692114006,0.0,0.0,-0.021057874794314,0.0121042636521639,4.882352941176471,0
2013-02-19,How Apple Might Benefit from the OfficeMax and Office Depot Merger,RSH,0.0277512226043747,0.0,0.0312500254888286,0.0298102692114006,0.0,0.0,-0.021057874794314,0.0121042636521639,4.882352941176471,0
2013-02-22,"The Week Ahead: Earnings from JC Penney, Groupon, Salesforce",RSH,0.0,,0.0,0.0121042636521639,0.0277512226043747,0.0312500254888286,0.0298102692114006,0.0,,2
2013-02-26,"RadioShack Posts Weak Earnings, Still Up on Tuesday",RSH,0.0,,0.0,0.0,0.0,0.0121042636521639,0.0277512226043747,0.0,,2
2013-02-26,"Radio Shack Posts Weak Earnings, Still Up on Tuesday",RSH,0.0,,0.0,0.0,0.0,0.0121042636521639,0.0277512226043747,0.0,,2
2013-02-26,"Earnings Scheduled For February 26, 2013",RSH,0.0,,0.0,0.0,0.0,0.0121042636521639,0.0277512226043747,0.0,,2
2013-02-26,"Benzinga Market Primer, Tuesday February 26",RSH,0.0,,0.0,0.0,0.0,0.0121042636521639,0.0277512226043747,0.0,,2
2013-02-26,US Stock Futures Up Ahead Of Bernanke Testimony,RSH,0.0,,0.0,0.0,0.0,0.0121042636521639,0.0277512226043747,0.0,,2
2013-02-26,"Benzinga Market Primer: Tuesday, February 26",RSH,0.0,,0.0,0.0,0.0,0.0121042636521639,0.0277512226043747,0.0,,2
2013-02-28,What's the Future of Retail?,RSH,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-03-06,Best Buy Shares Higher After Jefferies Gives 7 Reasons to Own,RSH,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2
2013-03-13,"Office Supply Merger Brings Out the Short Sellers (ODP, OMX, AVP)",RSH,0.0,,0.0,0.0236124024333579,0.0,0.0,0.0,0.0,,2
2013-03-28,Wal-Mart 'Goes to the Mattresses' Against Amazon,RSH,0.0,-1.0,-0.0270021805460273,-0.0236668930571711,0.0,0.0,0.0,0.0,,2
2013-07-12,"Benzinga Market Primer, Friday July 12",RSH,0.0260606245561079,inf,0.0,0.0,0.0,-0.0045249326990771,0.0,0.0,-1.0,2
