,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-05-21,Mad Money Lightning Round: Jim Says JPM Represents Great Value,AMT,0.0340588429811135,0.1540313875280246,-0.035564815069249134,-0.015560135178738888,-0.00939300155923617,0.008256208527767317,-0.013652731178599331,-0.021544956974650642,-0.3945531731184343
1,2010-07-22,JP Morgan Assesses U.S. Telecom and Cable Services Sector,AMT,0.01687856241929575,-0.4951120731792472,-0.02060988056473556,0.05551804564035545,-0.001357698650644279,-0.0298574151698352,-0.005023752712278617,0.008191274246658553,-0.04422239125924898
2,2010-08-02,"Oppenheimer Previews Telecommunications, Media and Technology Conference (MSFT)",AMT,0.00973170395000178,0.28775463096543374,0.015594290208228001,-0.0039382695026800585,0.002193208454757567,-0.01490290627953883,-0.010049229562090978,-0.00492613971128375,-0.32618583495776476
3,2010-08-03,Earnings Scheduled On August 3,AMT,-0.00492613971128375,-0.32618583495776476,0.00973170395000178,0.015594290208228001,-0.0039382695026800585,0.002193208454757567,-0.01490290627953883,0.010331304557039678,0.26375818840820675
4,2010-08-09,A Peek Into The Market Before The Trading Starts,AMT,0.0,-0.4250403519321455,-0.004471744442144265,0.0004263537434410214,0.010331304557039678,-0.00492613971128375,0.00973170395000178,-0.001711336895979798,0.33863598833048925
5,2010-08-09,"Piper Jaffray On Telecom Sector (VZ, T, AMT)",AMT,0.0,-0.4250403519321455,-0.004471744442144265,0.0004263537434410214,0.010331304557039678,-0.00492613971128375,0.00973170395000178,-0.001711336895979798,0.33863598833048925
6,2010-09-24,Piper Jaffray's Wireless Report: Subscriber Growth!,AMT,0.021945437842448845,-0.22300277217741937,0.0015839776557111662,0.000396361505975662,0.008188651495278476,0.01623664150259141,0.018817335856830653,0.0025147637023246183,0.3497668761402797
7,2010-10-06,"Jim Cramer on Trading Verizon iPhone News (VZ, AAPL, AMT)",AMT,-0.02178137457566809,0.4608768035516093,0.016059574398934018,-0.010848277189830391,0.007023001525635841,-0.010233439150876822,-0.006140971007509322,-0.0066996969529755646,0.026292226292226273
8,2010-12-21,"Mad Money Lightning Round: Cramer Likes Oracle, American Tower (ENTG, JBL, PFE, ORCL, AAPL, AMT, S, T, VZ)",AMT,-0.006464263741443488,-0.13149796499123123,0.02902661719595412,-0.007601667492969089,-0.0027928668429705317,-0.0061458574206690875,0.008598277516363995,0.00137986420723335,-0.46325294319350785
9,2011-03-08,"How To Play A Possible T-Mobile, Sprint Merger (S)",AMT,-0.018086152364931163,0.49430490222182777,0.00018850881531884411,-0.004875213005471446,0.020084321705169383,-0.008346411022692402,-0.02297968135377726,0.0013430710810962143,-0.5647706349363479
10,2011-06-13,Sector Update: Telecomm Surging,AMT,0.0018001839219965454,-0.19128466327108096,0.003008861174181199,-0.005981819427850699,-0.022226799760901694,-0.00927163330258629,0.0109355937396316,0.01237760213841832,-0.15063629059430317
11,2011-06-17,Telecomm Leading the Market,AMT,0.0015966461964094236,-0.327924791086351,-0.011830023409821533,0.00019728187964074273,0.01237760213841832,0.0018001839219965454,0.003008861174181199,0.009561600629901745,-0.37332918868511034
12,2011-06-20,Stocks and Sectors to Watch: S&P 500 Recap 6/20/11,AMT,0.009561600629901745,-0.37332918868511034,0.0015966461964094236,-0.011830023409821533,0.00019728187964074273,0.01237760213841832,0.0018001839219965454,0.021704921570779856,0.21213624338624348
13,2011-06-23,Thursday's S&P Sector Recap 6/23/11,AMT,0.010588829238086905,0.13011389180278732,0.0030900077427737926,0.021704921570779856,0.009561600629901745,0.0015966461964094236,-0.011830023409821533,-0.014097958098536534,-0.3159953588596055
14,2011-07-27,Wednesday's S&P 500 Sector Recap: Hottest and Coldest Sectors,AMT,-0.02882082516743878,0.7322643903564425,-0.00018947363152665986,-0.010690201662346466,0.00471076600317244,0.010472524356372581,-0.007371225205338172,0.026942590267627464,0.22144902443896908
15,2011-07-28,How To Play The Mobile App Boom,AMT,0.026942590267627464,0.22144902443896908,-0.02882082516743878,-0.00018947363152665986,-0.010690201662346466,0.00471076600317244,0.010472524356372581,-0.00133099412982296,-0.26086956521739135
