,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2014-12-09,Mid-Morning Market Update: Markets Open Lower; AutoZone Posts Upbeat Results,BLUE,0.7238698219334581,5.214837146454444,0.09349140534797229,0.06174309773389486,-0.013817316077924469,0.037414912446519066,0.04228917403021293,-0.018628358044256554,-0.6494554916715782
6,2015-01-20,Why Drug Pricing Could Bring Volatility To The Biotech Sector This Year,BLUE,-0.037145729359785995,0.7021171203251841,0.04783112468088602,-0.1019999831717352,0.0474860253131415,-0.016772935079922835,-0.016211499153033104,-0.029328297154215366,-0.12747036437054815
10,2015-05-21,Benzinga's Top #PreMarket Gainers,BLUE,0.04363048851028406,0.5812099522798946,-0.02826485278377122,0.09034530588352085,0.01282213043384739,-0.018932673665385535,-0.018336027877697725,0.03145598999746824,-0.47624329183625425
12,2015-05-21,Morning Market Gainers,BLUE,0.04363048851028406,0.5812099522798946,-0.02826485278377122,0.09034530588352085,0.01282213043384739,-0.018932673665385535,-0.018336027877697725,0.03145598999746824,-0.47624329183625425
16,2015-09-08,"Benzinga's M&A Chatter for Tuesday September 8, 2015",BLUE,0.06789362741137395,2.1769102809259517,0.009681441798591539,-0.02822456203196466,0.022815449088538386,-0.03163749103591729,-0.03200696281539872,-0.05640845025970975,-0.5423497321241566
19,2016-03-04,"The Market In 5 Minutes: Friday, March 4, 2016",BLUE,0.011694831621998913,0.548705891144335,0.00018568581107802906,0.06632350355212657,0.09281697502268771,-0.07058117712101863,0.032814164464276985,0.011376138262254809,-0.3825030975517709
23,2016-10-14,18 Stocks Moving In Friday's Pre-Market Session,BLUE,-0.13289399286044645,1.6248417031530558,-0.004729166020845055,-0.0639725783146311,-0.04837619372567592,0.05626525363354462,-0.004714269955818251,-0.01891460425844349,-0.6327791400783622
24,2016-12-01,18 Biggest Mid-Day Gainers For Thursday,BLUE,0.1375310878480147,2.301402337820283,-0.06288822758690193,0.06183017648700595,-0.05160273699956974,0.023199956951953205,0.025430711089310387,0.01602325276320893,-0.7847387807067016
25,2016-12-05,What Is The ASH Conference And Why Should Biotech Investors Care?,BLUE,0.034408626484622395,-0.08179819260078414,0.01602325276320893,0.1375310878480147,-0.06288822758690193,0.06183017648700595,-0.05160273699956974,0.09424807705008065,0.6985330731281592
26,2016-12-13,The Market In 5 Minutes: Oil Chugs Higher Amid Tillerson News,BLUE,-0.02071433121070021,0.0053565068297773966,0.007194228142736403,-0.0320333869958882,0.01843970813535356,-0.10702975660307701,0.09424807705008065,0.006564545405961075,0.15841884818359864
27,2017-01-09,The Year's Biggest Healthcare Conference Commences This Week; Here's What You Need To Know,BLUE,0.008797703598137252,-0.017030848962016454,0.010370311940051113,-0.0022172638196559236,0.09377528321004402,0.0024310841994037435,-0.006441228261696352,-0.00799415941816084,0.01856434899533288
