,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-09-20,August Causal Dining Trends From Piper Jaffray,CAKE,0.027194671805141235,-0.1292134831460674,-0.00617756621049248,-0.02042330108449275,-0.003016745299329382,0.0022674723894160476,,-0.013237220276634654,-0.12739375320020485
1,2010-12-03,"Mad Money Lightning Round: Cramer Advises Investors To Buy Anadarko Petroleum (UA, NKE, DECK, LULU, VLO, TSO, MRO, APC, FNSR, CREE, DYN, CAKE, DRI, CMG)",CAKE,-0.0024465380920919433,-0.3690773067331671,0.01584336530643715,0.010040799458206351,0.0,-0.002816109756602958,-0.0009375361684390571,0.004291889284850026,-0.021622878400372025
2,2011-07-20,Earnings Scheduled For July 20,CAKE,-0.027373177283061545,0.33962404339103935,0.027828888200656987,0.0003061478705450593,-0.00030605417271167834,-0.02154398835016058,0.021081621018376406,-0.049862149197372974,1.7362728785357735
3,2011-10-18,"End-of-Day Market Summary for October 18, 2011",CAKE,0.04249648504861536,1.4494117647058822,-0.032950853400860125,-0.0036890749109123044,0.022247609406352842,0.006069588931686409,0.003808223637227215,-0.0433347031588176,-0.09798270893371763
4,2011-10-18,"Financial Breakfast: Morning News Summary for October 18, 2011",CAKE,0.04249648504861536,1.4494117647058822,-0.032950853400860125,-0.0036890749109123044,0.022247609406352842,0.006069588931686409,0.003808223637227215,-0.0433347031588176,-0.09798270893371763
5,2012-10-22,Earnings Expectations for the Week of October 22,CAKE,-0.0026681658500808947,-0.387638001162115,-0.031025853114540092,-0.003435183830756139,0.008663250838794045,0.0014455765496477202,0.0034825678467216292,-0.000594632870633327,-0.2762424386193808
7,2013-07-24,Notable Earnings Due Out After the Close Jul. 24th,CAKE,-0.015044785512619563,1.1835389792484579,-0.005609893296010249,-0.01178105179735811,-0.00938203364960144,0.0029836821987141438,-0.011794173947169972,-0.025059667289809684,1.010659474731908
8,2013-10-23,"Market Primer: Wednesday, October 23: Fed Taper Outlook Looking Cloudy",CAKE,-0.01563582685910081,0.9301604668125456,0.00022995333764042059,-0.006171557452612664,0.007832372280329514,0.012596381837228554,0.002572501167015462,0.0586312108687943,0.39050543221539913
13,2014-02-12,"Earnings Scheduled For February 12, 2014",CAKE,-0.005702806090969625,0.3898457728244962,0.014915620157302856,0.0051465415883038546,0.007438984389211756,0.020004772773747348,0.0006900029109984107,0.0035293947109913404,0.23821480641503312
16,2014-07-31,Dow Suffers 300 Point Drop; S&P 500 And Nasdaq Also Tumble,CAKE,-0.013799729591760124,0.15957808778496085,-0.001377814767901775,0.005542736291249906,-0.0006922978611031416,-0.0018432742849429085,-0.012511315274480905,0.0002333615655274457,0.1561032863849765
20,2014-07-31,Dow Suffers 300 Point Drop; S&P 500 And NASDAQ Also Tumble,CAKE,-0.013799729591760124,0.15957808778496085,-0.001377814767901775,0.005542736291249906,-0.0006922978611031416,-0.0018432742849429085,-0.012511315274480905,0.0002333615655274457,0.1561032863849765
21,2014-08-21,Markets Continue To Rally Ahead Of Yellen's Speech At Jackson Hole,CAKE,0.002922995389400773,-0.010876256925918315,-0.01265524354735037,0.008057380525056557,0.011775271284507172,-0.003160030562251226,0.002715650650228163,-0.0026904780316758803,-0.5675311203319502
