,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2014-02-07,"Bloomberg Reporting JP Morgan Said to Offer $390M Non-Performing Home Loans, Goldman Said to Market ~$700M of Loans for Regions, HSBC Asked Blackrock to Manage Up to $1B NPL Sale",HSBC,0.003878971955199484,0.03551401869158877,0.008607251439461061,-0.0033145892538559707,0.013636708509027873,-0.01728535915476892,-0.014922352907147052,-0.007341719852644202,0.22666322846828257
3,2014-02-24,Market Wrap For February 24: Markets Showing Strength to Start the Week,HSBC,-0.023743586423542906,0.24443486228642275,0.0,-0.0018373069146191412,-0.0027484430049200537,0.021141398472791284,0.003190614784917223,-0.012255053816838779,-0.15869715869715872
4,2014-02-24,Market Wrap For February 24: Markets Showing Strength To Start The Week,HSBC,-0.023743586423542906,0.24443486228642275,0.0,-0.0018373069146191412,-0.0027484430049200537,0.021141398472791284,0.003190614784917223,-0.012255053816838779,-0.15869715869715872
7,2014-03-17,FDIC Sues Big Banks for Fixing Interest Rates,HSBC,0.001202531715598365,-0.3907712165214585,0.0006020276300420235,-0.0071697866870756854,-0.0059394262775481765,-0.002906909179652084,-0.01224831620925404,-0.002202392584705226,0.13362590799031482
8,2014-03-17,FDIC Sues Big Banks For Rigging Interest Rates,HSBC,0.001202531715598365,-0.3907712165214585,0.0006020276300420235,-0.0071697866870756854,-0.0059394262775481765,-0.002906909179652084,-0.01224831620925404,-0.002202392584705226,0.13362590799031482
11,2014-04-29,Goldman Sachs And Others Still Face FHFA Suits,HSBC,0.0155756147632653,-0.38619235425045884,-0.002556537748803267,-0.01586965420193509,0.006231515647216801,-0.009452121086230614,-0.004799469773311582,-0.0036887952316557726,0.03759781156562125
17,2014-10-09,"#PreMarket Primer: Thursday, October 9: Fed Worries That Waning Global Economy Could Hurt US Progress",HSBC,-0.023721715594722248,-0.3199099814667725,0.01942533546589975,-0.0064988015020241985,0.007339925396853353,0.012655729805753468,-0.0077734979835336615,-0.008962390021808542,0.7034297504574298
19,2014-10-09,"#PreMarket Primer: Thursday, October 9: Fed Worried That Waning Global Economy Could Hurt US Progress",HSBC,-0.023721715594722248,-0.3199099814667725,0.01942533546589975,-0.0064988015020241985,0.007339925396853353,0.012655729805753468,-0.0077734979835336615,-0.008962390021808542,0.7034297504574298
24,2014-10-30,Apple Inc.'s Tim Cook And 5 Other Notable LGBT CEOs,HSBC,-0.004734447229190586,0.012814088338463758,-0.000394655710770353,0.00895338945679347,-0.007895729701096976,0.004162583936349273,0.013052314120050257,0.011298273402178705,0.015973989256431897
27,2014-11-12,"#PreMarket Primer: Wednesday, November 12: Banks Fined $3.4 Billion For Their Role In Forex Manipulation",HSBC,-0.0069211755335943925,-0.07666077292245521,0.003970830893703203,0.005589761864773335,-0.005361271826750835,-0.0027724257197199176,0.006778435767886171,-0.001394001049949689,0.4919983586376693
30,2014-11-12,"#PreMarket Primer: Wednesday, November 12: Banks Fined $3.4 Billion For Role In Forex Manipulation",HSBC,-0.0069211755335943925,-0.07666077292245521,0.003970830893703203,0.005589761864773335,-0.005361271826750835,-0.0027724257197199176,0.006778435767886171,-0.001394001049949689,0.4919983586376693
31,2014-11-12,"#PreMarket Primer: Wednesday, November 12: Banks Fined More Than $3 Billion For Role In Forex Manipulation",HSBC,-0.0069211755335943925,-0.07666077292245521,0.003970830893703203,0.005589761864773335,-0.005361271826750835,-0.0027724257197199176,0.006778435767886171,-0.001394001049949689,0.4919983586376693
36,2014-11-13,"#PreMarket Primer: Thursday, November 13: Medvedev Says Sanctions Need To Go",HSBC,-0.001394001049949689,0.4919983586376693,-0.0069211755335943925,0.003970830893703203,0.005589761864773335,-0.005361271826750835,-0.0027724257197199176,0.00239271256263196,0.2644847818115146
44,2014-11-26,"#PreMarket Primer: Wednesday, November 26: Big Retailers Gear Up For Black Friday",HSBC,0.00320536059605514,0.40495179970871775,0.009096430582727466,-0.0006058526679694198,0.007530595336324275,-0.01226359344255934,-0.004004782880889346,-0.006589513004437442,-0.6676868397670056
48,2015-02-24,Report: 10 Big Banks In Antitrust Probe On Precious Metals,HSBC,0.008057263141499904,-0.07574405141414398,-0.04284472575293741,0.009297153824318505,-0.008999521137056266,0.008863168679559719,0.002818080740938589,-0.005994531161019112,-0.33989128335310836
52,2015-03-20,The Way Gold Prices Are Calculated Just Changed Forever,HSBC,0.02325569302969588,0.5651365588066044,-0.012067632327793065,0.019881649968279236,0.01197604205594871,0.004813489462671683,-0.010007316367198538,-0.008035131149408792,-0.47511171446348777
54,2015-03-23,Is The Euro Moving Higher Or Lower? And What Should You Do About It?,HSBC,-0.008035131149408792,-0.47511171446348777,0.02325569302969588,-0.012067632327793065,0.019881649968279236,0.01197604205594871,0.004813489462671683,-0.004396835297735269,-0.04057330675144133
58,2015-07-06,Deutsche Bank Stock Is Dropping More Than Other Peers After Greek News,HSBC,-0.020363231995821462,0.2893877267357008,0.010964472583369078,-0.0026777570001609297,-0.007969948108242808,-0.028602284255653365,-0.0030017908660701087,-0.01220084989914294,0.9631326470112651
60,2016-06-15,Prepping For An All-Nighter: London Bankers Anticipate A Volatile Night Following Brexit Vote,HSBC,0.0026533066367737668,-0.40936917753526747,-0.018554659942624174,-0.009351722495318238,-0.037852801498353794,-0.008002616268528051,-0.0012297972633091847,0.009262397820115176,-0.05546256357432566
61,2016-06-15,Prepping For An All-Nighter: London Bankers Anticipate Volatility On Brexit Night,HSBC,0.0026533066367737668,-0.40936917753526747,-0.018554659942624174,-0.009351722495318238,-0.037852801498353794,-0.008002616268528051,-0.0012297972633091847,0.009262397820115176,-0.05546256357432566
64,2016-06-24,Financials Are Crashing,HSBC,-0.0904239845650191,2.1962166944213157,0.033077967210144665,0.00678399809325736,0.013437565837941756,0.02728728180556672,0.020976609606420338,-0.04237273457002233,-0.07349577081823877
68,2017-02-16,"JPMorgan, BofA, Wells Fargo Push For Rewrite Of Money Laundering Rules",HSBC,0.00045342207518772604,-0.12615673476686484,0.01333040625565629,0.005314478276015722,0.007214144185411664,-0.0020899948824990577,0.011272700936568736,-0.004533941694895072,-0.03202537473781142
69,2017-02-21,"Earnings Scheduled For February 21, 2017",HSBC,-0.05306298835941681,2.955393478145975,-0.004533941694895072,0.00045342207518772604,0.01333040625565629,0.005314478276015722,0.007214144185411664,0.01603736420624635,-0.48703901656867987
70,2017-06-28,Adding Perspective To Google's $2 Billion European Fine,HSBC,0.012242436994638561,0.6202376791331703,0.0045545391563821536,0.012684846844958297,0.0011542347993889202,-0.0036806052550864,-0.0006897242769060563,0.04210518958934828,0.931758530183727
71,2017-06-29,22 Stocks Moving In Thursday's Pre-Market Session,HSBC,0.04210518958934828,0.931758530183727,0.012242436994638561,0.0045545391563821536,0.012684846844958297,0.0011542347993889202,-0.0036806052550864,-0.003009004405389315,-0.6741177784395473
72,2018-02-20,32 Stocks Moving In Tuesday's Mid-Day Session,HSBC,-0.033624267714624345,0.7896520963425513,0.0014882297849552195,0.010338436426953423,0.029411919141137277,0.005838601585685055,-0.0001943198129691348,0.003075635810499966,-0.3395474030505433
73,2018-05-15,"JPMorgan, HSBC, Citigroup, Early Warning Execs Talk Fintech Collaboration",HSBC,-0.000597436721140987,0.6268874817340477,0.0007970566421804381,0.005007104177628285,0.007872308324984534,0.018712814384258758,-0.0032793548583996968,0.0023910791354433414,-0.05890718562874253
74,2018-10-29,44 Stocks Moving In Monday's Mid-Day Session,HSBC,0.03931733288408923,0.10809259613545064,-0.012263848313990522,0.014778309885056684,-0.021065849274569226,-0.023543799844364055,-0.002718942082671205,0.012194971422875511,-0.3399269928966061
75,2018-10-29,30 Stocks Moving In Monday's Pre-Market Session,HSBC,0.03931733288408923,0.10809259613545064,-0.012263848313990522,0.014778309885056684,-0.021065849274569226,-0.023543799844364055,-0.002718942082671205,0.012194971422875511,-0.3399269928966061
76,2019-02-19,25 Stocks Moving In Tuesday's Pre-Market Session,HSBC,-0.02990661929398586,3.4503552909544846,0.010148854279877995,0.0009447168750840174,0.0054633276120594765,0.010076749253218553,-0.0016767542377211786,0.014691967000798778,-0.5529423610811433
77,2019-02-19,"10 Stocks To Watch For February 19, 2019",HSBC,-0.02990661929398586,3.4503552909544846,0.010148854279877995,0.0009447168750840174,0.0054633276120594765,0.010076749253218553,-0.0016767542377211786,0.014691967000798778,-0.5529423610811433
78,2019-02-19,A Peek Into The Markets: US Stock Futures Signal Lower Start On Wall Street,HSBC,-0.02990661929398586,3.4503552909544846,0.010148854279877995,0.0009447168750840174,0.0054633276120594765,0.010076749253218553,-0.0016767542377211786,0.014691967000798778,-0.5529423610811433
