,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2012-05-10,US Stock Futures Down; Jobless Claims Data In Focus,LBTYA,0.007526409326296557,-0.2774731169285547,-0.014632125884360803,0.0008023954454250415,0.0014061665573656956,-0.008563979988486015,0.002595808529847643,0.025035341022973112,0.11740844384636162
1,2013-02-05,"Benzinga's M&A Chatter for Tuesday February 5, 2013",LBTYA,-0.022746999668110557,4.489130345017814,-0.014472189460048135,0.032069137411206095,-0.006979793586041172,-0.0005813023102915205,-0.0023198151854590954,-0.026811958966018623,2.540483965483909
4,2013-02-13,"Earnings Scheduled For February 13, 2013",LBTYA,-0.009895160778170542,-0.07127875942925876,-0.0033853451004906,-0.001029190435685834,-0.000881432665322035,0.030426833175365875,-0.026811958966018623,-0.01402149632411076,0.023250655756130723
7,2013-02-14,13-F Alert: Loeb's Third Point Sells Apple ,LBTYA,-0.01402149632411076,0.023250655756130723,-0.009895160778170542,-0.0033853451004906,-0.001029190435685834,-0.000881432665322035,0.030426833175365875,-0.007412958220510579,0.002887940689739521
9,2013-07-10,What to Expect From Tesla Shares After Joining QQQ (TSLA),LBTYA,-0.006034205717169838,0.6288586100250919,0.00685113009147198,0.005066883227162533,-0.00025977018047773637,0.017713189149694664,0.016664382546000667,0.023508178583588668,0.10841319242308889
10,2013-07-10,What to Expect From Tesla Shares After Joining QQQ,LBTYA,-0.006034205717169838,0.6288586100250919,0.00685113009147198,0.005066883227162533,-0.00025977018047773637,0.017713189149694664,0.016664382546000667,0.023508178583588668,0.10841319242308889
13,2013-10-28,US Stock Futures Up; Apple Earnings In Focus,LBTYA,0.011976057942238327,1.2322364073723695,-0.0008724322753045355,0.014927230894456134,-0.001137255601120657,0.018401816741338006,0.004654100858154653,-0.017381722967326874,-0.09413887166670976
16,2013-11-12,Market Wrap For November 12: Investors Continue to Speculate on the Fed's Tapering Measures ,LBTYA,-0.011323531428444777,0.04205058039318543,-0.01205723302212347,0.01233170408005968,-0.01864653655289783,0.06496573434070552,-0.017697952652571236,0.010562471059608391,-0.25369427132088296
18,2013-11-12,Market Wrap For November 12: Investors Continue To Speculate On The Fed's Tapering Measures ,LBTYA,-0.011323531428444777,0.04205058039318543,-0.01205723302212347,0.01233170408005968,-0.01864653655289783,0.06496573434070552,-0.017697952652571236,0.010562471059608391,-0.25369427132088296
22,2014-02-04,Market Wrap For February 4: Investors And Traders Go Bargain Hunting,LBTYA,0.013412620023910415,0.08314475693152068,-0.01125987353248381,-0.013575203830284654,0.002474292388396915,-0.02555754871880167,0.01879149696842286,0.005368927704921589,-0.1357454134764562
23,2014-02-04,Market Wrap for February 4: Investors and Traders Go Bargain Hunting,LBTYA,0.013412620023910415,0.08314475693152068,-0.01125987353248381,-0.013575203830284654,0.002474292388396915,-0.02555754871880167,0.01879149696842286,0.005368927704921589,-0.1357454134764562
26,2014-03-12,"Market Wrap For March 12: Nasdaq Ends Losing Streak, Dow Mildly Lower",LBTYA,0.006130800457555763,-0.06075239720799852,0.014746529196935976,-0.0034442643813870077,-0.013813419666198423,0.020332742443056384,-0.0009233821747262061,-0.0196344554190524,-0.18160596882618008
30,2014-03-14,Market Wrap For March 14: Ukraine Tension Drag Markets Lower,LBTYA,-0.004143653565060412,-0.5169606267939992,-0.0196344554190524,0.006130800457555763,0.014746529196935976,-0.0034442643813870077,-0.013813419666198423,-0.011558021715204703,0.12209889001009078
34,2014-03-25,Market Wrap For March 25: Markets Snap Two-Day Losing Steak On Confidence Data,LBTYA,-0.007253366359609381,-0.22407292954264524,-0.017110294424269035,0.0057361777627038535,-0.0038095201764788422,-0.00990094736149194,-0.007951360288446785,-0.012177301102703875,-0.027918276315265445
35,2014-03-25,Market Wrap For March 25: Markets Snap Two-Day Losing Steak on Confidence Data,LBTYA,-0.007253366359609381,-0.22407292954264524,-0.017110294424269035,0.0057361777627038535,-0.0038095201764788422,-0.00990094736149194,-0.007951360288446785,-0.012177301102703875,-0.027918276315265445
38,2014-04-03,Market Wrap For April 3: Markets Winning Streak Fails to Extend to Five Days,LBTYA,0.004830843982388977,1.2378484861462038,-0.001206254189149547,-0.003605714343353994,0.007507811860502311,0.023042623664808692,-0.004930985112617692,-0.026682616258863923,-0.1028781383955909
40,2014-04-03,Market Wrap For April 3: Markets Winning Streak Fails To Extend To Five Days,LBTYA,0.004830843982388977,1.2378484861462038,-0.001206254189149547,-0.003605714343353994,0.007507811860502311,0.023042623664808692,-0.004930985112617692,-0.026682616258863923,-0.1028781383955909
44,2014-05-06,"Earnings Scheduled For May 6, 2014",LBTYA,-0.00023424206210198584,-0.29212541287158444,0.033898342657174174,0.009533106602372943,0.027373183348606833,0.011686968428340938,-0.0037964494445420494,0.00023429694430143755,-0.05873203838880148
47,2014-05-08,Market Wrap For May 8: Tesla Helps Extend Nasdaq's Losing Streak To 3 Straight Days,LBTYA,0.007962532705221514,-0.22958915427369686,0.00023429694430143755,-0.00023424206210198584,0.033898342657174174,0.009533106602372943,0.027373183348606833,0.007667239993909281,-0.46781544761022686
48,2014-05-08,Market Wrap For May 8: Tesla Hitting The Breaks Helps Extend Nasdaq's Lossing Streak To Three Straight Day,LBTYA,0.007962532705221514,-0.22958915427369686,0.00023429694430143755,-0.00023424206210198584,0.033898342657174174,0.009533106602372943,0.027373183348606833,0.007667239993909281,-0.46781544761022686
52,2014-06-12,"Benzinga's M&A Chatter for Thursday June 12, 2014",LBTYA,-0.025675746963234714,0.5709712327531788,-0.004484236661089436,-0.011743908297148109,0.01211035913163161,-0.009771233369681553,0.017627091057556443,0.002080447435965249,-0.06234034614391093
