,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-05-27,J.P. Morgan Reiterates Overweight Rating On Las Vegas Sands (LVS),LVS,0.10069270583274603,-0.04068801819697698,0.013102310586576849,0.02297765723784151,-0.005238110867229584,0.05793477483321041,-0.08735672704398012,-0.014687153084063875,0.14446266209569236
1,2010-08-24,"Mad Money Lightning – Stocks According To Cramer (LVS, CRM, SAP, VOD, RLD, HBAN, WCRX)",LVS,-0.050103260150950124,0.4479523322513228,-0.02328739674111957,-0.0003374223805501231,-0.021459528553378404,0.017809254162043375,0.031185100820690703,0.0400145566495238,-0.045184207024332346
2,2010-09-14,"Cramer Sets Rules For New Bullish Market (BA, HON, LVS, WYNN, BUCY, JOYG, APD, ARG, CAT, DE, WHR, INTC, KO, PEP, ETP, WMT, FE, SYK, UA, LULU, DKS, LTD, PBCT, CHK, ARNA, CLNE)",LVS,-0.011214959765773913,-0.1141586750332163,0.015180274579217556,-0.0015785191359323214,0.002849884728597152,0.012828901989445196,0.006130822691934323,0.017013017215753656,-0.0009801155348312385
3,2010-10-28,"Stocks To Watch For October 28 (LVS, MSFT, V, MOT, MFE)",LVS,0.08694619195149955,1.0614599405771412,0.0014635205590074474,0.03929017015356662,0.017276954962038626,0.021063684199706723,-0.015807173691484322,0.028007766364163578,-0.516307970190846
4,2010-10-28,"US Stock Futures Point Higher Start On Wall Street, Earnings In Focus",LVS,0.08694619195149955,1.0614599405771412,0.0014635205590074474,0.03929017015356662,0.017276954962038626,0.021063684199706723,-0.015807173691484322,0.028007766364163578,-0.516307970190846
5,2010-11-16,"Mad Money Lightning Round: Cramer Likes Citigroup, Prefers Baldor Electric To Power Integrations (C, VZ, WOOF, WYNN, LVS, MGM, FCX, TGB, AKAM, BEZ, POWI, EP)",LVS,-0.05824875648087291,0.4353616646258285,0.014043933407054565,-0.04402767222015813,0.013000015672455234,-0.04049145465669679,-0.013067856025113733,-0.028978948471952815,0.19127611976591496
6,2011-07-18,ETFs For The End Of The NFL Lockout,LVS,-0.01844418015799687,0.13445588557478638,0.009647877960937024,0.006094375964139198,0.021914970468756012,-0.013427514689395181,-0.04499014965782078,0.022186813484940338,0.2749055094214694
7,2011-07-26,"US Stock Futures Flat Ahead Of Earnings, Economic Data",LVS,0.002598591496524305,0.4046703626782926,-0.00965055352316535,0.009744594251551497,0.017404723426324153,0.005315618910954889,0.022186813484940338,0.023542036036562575,0.8079792271269284
8,2011-07-26,Earnings Scheduled For July 26,LVS,0.002598591496524305,0.4046703626782926,-0.00965055352316535,0.009744594251551497,0.017404723426324153,0.005315618910954889,0.022186813484940338,0.023542036036562575,0.8079792271269284
9,2011-07-27,US Stock Futures Flat; Amazon Shares Rise In Pre-Market Trading,LVS,0.023542036036562575,0.8079792271269284,0.002598591496524305,-0.00965055352316535,0.009744594251551497,0.017404723426324153,0.005315618910954889,-0.005275041874631681,-0.49126287083376985
