,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2011-05-04,May the Fourth Be With You,LZB,-0.012389176787017342,0.0012550550829730778,-0.005281687545170222,-0.03401349757791772,0.03795232396242798,0.012510963632172745,0.01727292327218999,-0.01702527778408658,0.4732590529247911
1,2012-02-21,Earnings Scheduled For February 21,LZB,0.029264710160260776,2.9766022380467954,0.0021460812851248345,0.007205012014386725,-0.012100113262235257,-0.0021306804664468215,0.021029635395256152,-0.03675448486049859,-0.2398737955146244
2,2013-06-18,"Benzinga's PreMarket Info Recap for June 18, 2013",LZB,0.06400889318740766,3.6438869665513263,0.011676911822303904,-0.009984021371328478,0.040459373938503296,0.011055903262792155,-0.018448682891746726,-0.025148147172261548,0.03135672151505742
4,2013-08-20,"  Earnings Scheduled For August 20, 2013",LZB,0.039647046400153485,0.7148090005232863,-0.016843075456184242,-0.002879016818948199,-0.040073754361088176,-0.019421843289497476,-0.011606993673717758,0.0348407558603101,0.5675923100396705
7,2013-11-19,"Earnings Scheduled For November 19, 2013 ",LZB,0.002462929320497187,0.3651595744680851,-0.01655217334781378,0.022708249494040045,-0.004520772466459877,0.02788339267548312,0.00852152711559584,0.09827993149488745,3.2483927527761542
11,2013-11-20,"Market Wrap For November 20: Inflation Data Points To ""No"" Tapering, Fed Meeting Notes Points To ""Yes"" Tapering",LZB,0.09827993149488745,3.2483927527761542,0.002462929320497187,-0.01655217334781378,0.022708249494040045,-0.004520772466459877,0.02788339267548312,0.05704728059154007,-0.6315861879213096
15,2014-02-18,"Earnings Scheduled For February 18, 2014",LZB,-0.012026100886156188,1.3359404096834266,0.003290667943172343,0.017106612067519622,0.003732569710646505,0.011325192318755173,-0.016338684156442906,-0.023238350031038357,3.17203443877551
18,2014-02-28,Companies That Blame The Weather For Earnings Misses,LZB,-0.0035115143094917034,-0.16705781950074672,0.015451476680543363,0.010004328893645775,-0.006740916549927811,-0.023237877342327518,0.014139698868124828,-0.006655955853783646,-0.030737704918032738
24,2014-06-17,"#PreMarket Primer: Tuesday, June 17: US Considering Air Strikes In Iraq",LZB,0.05120623695889659,0.28579670012691816,-0.01828002598895695,-0.004549284414451238,-0.017871919871690456,-0.02879664022434114,-0.039772768901733535,-0.08051544965929491,1.6366654702081838
26,2014-06-17,"#PreMarket Primer: Tuesday, June 16th: US Considering Air Strikes In Iraq",LZB,0.05120623695889659,0.28579670012691816,-0.01828002598895695,-0.004549284414451238,-0.017871919871690456,-0.02879664022434114,-0.039772768901733535,-0.08051544965929491,1.6366654702081838
28,2014-06-18,"#PreMarket Primer: Wednesday, June 18: Interest Rates In Focus As Fed Meeting Comes To A Close",LZB,-0.08051544965929491,1.6366654702081838,0.05120623695889659,-0.01828002598895695,-0.004549284414451238,-0.017871919871690456,-0.02879664022434114,0.02933451048232305,-0.7168090392403771
29,2014-06-18,"#PreMarket Primer: Wednesday, June 18th: Interest Rates In Focus As Fed Meeting Comes To A Close",LZB,-0.08051544965929491,1.6366654702081838,0.05120623695889659,-0.01828002598895695,-0.004549284414451238,-0.017871919871690456,-0.02879664022434114,0.02933451048232305,-0.7168090392403771
32,2014-06-19,"Market Wrap For June 19: Stocks Little Changed, Gold and Silver Higher",LZB,0.02933451048232305,-0.7168090392403771,-0.08051544965929491,0.05120623695889659,-0.01828002598895695,-0.004549284414451238,-0.017871919871690456,-0.005529341777214758,0.7506309337819974
36,2014-08-15,Benzinga Weekly Preview: Several Large Retailers Set To Report,LZB,-0.024336173663946692,-0.1686340640809444,0.019395545759294697,0.004986378006411218,-0.0018099284691365236,-0.009412635171348382,0.030960777787246485,0.02448973732913573,0.3655172413793104
38,2014-08-19,"#PreMarket Primer: Tuesday, August 19: Dollar General Incites Bidding War",LZB,0.02788818648947644,1.6351752822341057,0.02448973732913573,-0.024336173663946692,0.019395545759294697,0.004986378006411218,-0.0018099284691365236,-0.06373781366875897,0.9714768883878242
40,2014-08-19,"Earnings Scheduled For August 19, 2014",LZB,0.02788818648947644,1.6351752822341057,0.02448973732913573,-0.024336173663946692,0.019395545759294697,0.004986378006411218,-0.0018099284691365236,-0.06373781366875897,0.9714768883878242
49,2014-08-20,"#PreMarket Primer: Wednesday, August 20: Chilling ISIS Video Surfaces",LZB,-0.06373781366875897,0.9714768883878242,0.02788818648947644,0.02448973732913573,-0.024336173663946692,0.019395545759294697,0.004986378006411218,0.005519799392523783,-0.6364728083719334
57,2014-11-17,Notable Retail Earnings This Week,LZB,-0.023195842557181767,-0.06510520047637947,-0.0012869733304257114,-0.020588248296431466,0.011044881160885422,0.004694920450455609,0.008609652835940063,-0.007035713741783245,1.1562632696390658
59,2014-11-17,"Notable Retail Earnings Expected This Week: Urban Outfitters, PetSmart, The Gap And Many More",LZB,-0.023195842557181767,-0.06510520047637947,-0.0012869733304257114,-0.020588248296431466,0.011044881160885422,0.004694920450455609,0.008609652835940063,-0.007035713741783245,1.1562632696390658
62,2014-11-18,"Earnings Scheduled For November 18, 2014",LZB,-0.007035713741783245,1.1562632696390658,-0.023195842557181767,-0.0012869733304257114,-0.020588248296431466,0.011044881160885422,0.004694920450455609,0.06200156408597657,0.7690035447026389
65,2014-11-19,7 Stocks You Should Be Watching Today,LZB,0.06200156408597657,0.7690035447026389,-0.007035713741783245,-0.023195842557181767,-0.0012869733304257114,-0.020588248296431466,0.011044881160885422,0.028357073308423963,-0.3079149504619837
68,2015-08-18,"Earnings Scheduled For August 18, 2015",LZB,-0.0011024972004568534,0.1255720300201355,0.010022486989808455,0.04499609743070665,0.027501078970981085,0.0,0.004001519124191777,0.02244287802405709,0.4909741421369329
71,2015-11-17,"Earnings Scheduled For November 17, 2015",LZB,-0.004218025093101985,-0.01849234393404009,0.015181033549019451,-0.03202701649734441,-0.03701011027360812,-0.02580445702284484,-0.005274090448199487,0.003080466942889215,0.7718708748349934
74,2015-11-17,10 Stocks You Should Be Watching Today,LZB,-0.004218025093101985,-0.01849234393404009,0.015181033549019451,-0.03202701649734441,-0.03701011027360812,-0.02580445702284484,-0.005274090448199487,0.003080466942889215,0.7718708748349934
77,2015-11-18,"Keep an Eye on These 10 Stocks for November 18, 2015",LZB,0.003080466942889215,0.7718708748349934,-0.004218025093101985,0.015181033549019451,-0.03202701649734441,-0.03701011027360812,-0.02580445702284484,0.003838758509919993,-0.7212326447680325
80,2016-08-05,The Market In 5 Minutes: Blowout Jobs Report Pushes Markets Higher,LZB,0.008322065220643715,0.16902784562774786,0.0020014101314598243,-0.002661397315464442,-0.0029848688846778604,-0.0023164465723742866,0.00532258104706651,-0.0069328562019472795,-0.21228583368157128
82,2016-12-01,"Keep an Eye on These 12 Stocks for December 1, 2016",LZB,0.05046744555528404,0.7282627190743576,-0.01834887006776953,-0.0072859636050571774,-0.01612895214006116,0.0035970017418232025,0.005425082102233469,0.06049832540931499,-0.0820124052377671
83,2017-02-21,"Earnings Scheduled For February 21, 2017",LZB,0.012027696263945176,0.32133403917416614,-0.005128374611625741,0.010362521286317428,-0.006860804929587294,0.010398515242667106,-0.035117079432734344,-0.03565367315898371,0.1608573717948718
84,2017-02-21,"10 Must Watch Stocks for February 21, 2017",LZB,0.012027696263945176,0.32133403917416614,-0.005128374611625741,0.010362521286317428,-0.006860804929587294,0.010398515242667106,-0.035117079432734344,-0.03565367315898371,0.1608573717948718
85,2017-08-22,"Earnings Scheduled For August 22, 2017",LZB,0.003210217055324982,1.6003616636528029,0.003220555738283837,0.00485442091130972,-0.031348010221966094,0.001569897561636724,-0.024502321900740975,-0.20160001273233996,4.996244784422809
86,2017-08-22,"10 Stocks To Watch For August 22, 2017",LZB,0.003210217055324982,1.6003616636528029,0.003220555738283837,0.00485442091130972,-0.031348010221966094,0.001569897561636724,-0.024502321900740975,-0.20160001273233996,4.996244784422809
87,2017-08-23,"10 Stocks To Watch For August 23, 2017",LZB,-0.20160001273233996,4.996244784422809,0.003210217055324982,0.003220555738283837,0.00485442091130972,-0.031348010221966094,0.001569897561636724,-0.05611226642835787,-0.5505531974114537
88,2018-02-20,"Earnings Scheduled For February 20, 2018",LZB,-0.00687273327425908,0.4169176019709828,-0.021848678808615074,0.015358273890763163,0.019130578401132414,-0.015411226570990477,-0.0017091222542578999,0.09861575305336467,1.4194358578052548
89,2018-02-20,"10 Stocks To Watch For February 20, 2018",LZB,-0.00687273327425908,0.4169176019709828,-0.021848678808615074,0.015358273890763163,0.019130578401132414,-0.015411226570990477,-0.0017091222542578999,0.09861575305336467,1.4194358578052548
90,2018-08-22,35 Stocks Moving In Wednesday's Mid-Day Session,LZB,0.13141997270399042,2.4013345001093853,0.021604982921232807,0.015673966924766747,0.014308245643062323,0.011254040628047024,-0.009553999193667284,-0.1041389170154271,-0.4811062871844348
91,2018-08-23,50 Biggest Movers From Yesterday,LZB,-0.1041389170154271,-0.4811062871844348,0.13141997270399042,0.021604982921232807,0.015673966924766747,0.014308245643062323,0.011254040628047024,-0.007451527241018607,-0.5261233343662846
92,2018-11-28,"10 Stocks To Watch For November 28, 2018",LZB,0.03587930880577317,1.3812244897959185,-0.007054752268749631,0.003184803964618066,0.007846060273844158,0.00972262715495531,-0.034086945246450284,0.022290756153880542,3.7370586218717863
93,2018-11-29,"A Peek Into The Markets: US Stock Futures Down Ahead Of Economic Data, Fed Minutes",LZB,0.022290756153880542,3.7370586218717863,0.03587930880577317,-0.007054752268749631,0.003184803964618066,0.007846060273844158,0.00972262715495531,-0.019456671706072348,-0.5775075987841946
94,2019-02-19,"Earnings Scheduled For February 19, 2019",LZB,0.025788109336460252,0.6035734226689,0.028487303361290017,0.0032851362449783927,0.010959694799361985,0.026244126166573567,0.006518122433595064,0.11762837400396986,1.2668871866295266
95,2019-02-19,"10 Stocks To Watch For February 19, 2019",LZB,0.025788109336460252,0.6035734226689,0.028487303361290017,0.0032851362449783927,0.010959694799361985,0.026244126166573567,0.006518122433595064,0.11762837400396986,1.2668871866295266
96,2019-08-20,"8 Stocks To Watch For August 20, 2019",LZB,-0.0388958620429215,1.557266602502406,0.004094422888047511,0.011146610228528697,-0.0012723442312909672,-0.029928957399245726,0.022720173699211754,-0.019582205959566168,0.3604315644210263
97,2019-08-20,"Earnings Scheduled For August 20, 2019",LZB,-0.0388958620429215,1.557266602502406,0.004094422888047511,0.011146610228528697,-0.0012723442312909672,-0.029928957399245726,0.022720173699211754,-0.019582205959566168,0.3604315644210263
98,2019-11-07,Stocks That Hit 52-Week Highs On Thursday,LZB,0.011771124223017848,0.020584725536992865,0.02468433684947291,-0.0008406810826596667,0.007624968912634866,-0.002816105463590235,-0.010863577921561896,-0.01650445597440986,-0.4741303712364806
99,2019-11-18,Stocks That Hit 52-Week Highs On Monday,LZB,0.013333620845994876,0.46970858895705514,0.007953769405000477,0.005793131560083875,-0.003573600064432303,0.01027526501559417,-0.00935352208224538,-0.020139557820638587,0.32689799112966345
100,2019-11-19,Stocks That Hit 52-Week Highs On Tuesday,LZB,-0.020139557820638587,0.32689799112966345,0.013333620845994876,0.007953769405000477,0.005793131560083875,-0.003573600064432303,0.01027526501559417,-0.008495724239776736,0.2040896578843885
101,2020-02-18,"Earnings Scheduled For February 18, 2020",LZB,0.01309214980561424,1.2136563876651985,0.004068923228422783,0.0003131505760223252,0.013324816610075008,0.004461572511545331,0.017509673513903756,0.008000067227978747,1.2669154228855724
102,2020-03-06,Stocks That Hit 52-Week Lows On Friday,LZB,-0.032901678156887604,0.24105294291629686,-0.03268196297765069,0.035951086614969485,-0.017489586525447187,0.01780091720717425,-0.02017785114191384,-0.049583720234816386,0.08436606291706394
103,2020-03-11,Stocks That Hit 52-Week Lows On Wednesday,LZB,-0.0415001787457272,0.07249273255813948,-0.04569685974672022,-0.049583720234816386,-0.032901678156887604,-0.03268196297765069,0.035951086614969485,-0.15695263418069272,0.10520074538370316
104,2020-03-12,Stocks That Hit 52-Week Lows On Thursday,LZB,-0.15695263418069272,0.10520074538370316,-0.0415001787457272,-0.04569685974672022,-0.049583720234816386,-0.032901678156887604,-0.03268196297765069,0.14666655531937334,-0.0004598405885959389
105,2020-03-16,Stocks That Hit 52-Week Lows On Monday,LZB,-0.13738158583554094,0.38046311915350417,0.14666655531937334,-0.15695263418069272,-0.0415001787457272,-0.04569685974672022,-0.049583720234816386,-0.006490280409582994,-0.27616085314374583
106,2020-03-18,Stocks That Hit 52-Week Lows On Wednesday,LZB,-0.1658290814197404,-0.3560466543891958,-0.006490280409582994,-0.13738158583554094,0.14666655531937334,-0.15695263418069272,-0.0415001787457272,0.07891576138911205,0.21425166825548136
107,2020-08-18,"Earnings Scheduled For August 18, 2020",LZB,-0.01770994113898372,0.9547016557325836,0.0224790683545526,0.006915948914745895,-0.001569233767302225,-0.0012539894788579087,0.017543922739389206,0.028597937463046508,0.3370624900111874
108,2020-11-09,Stocks That Hit 52-Week Highs On Monday,LZB,-0.027439086861970052,1.6723346828609986,0.011777953724904311,0.019439805189584103,0.0014315367135391277,0.0008593147287396796,0.019573579283313824,0.03647771203435868,0.05666094333905658
109,2020-11-17,"Earnings Scheduled For November 17, 2020",LZB,0.019957348426108634,2.0671559633027523,0.032985187098735214,0.008594567872189707,-0.03323506137761367,0.025845330146949008,0.03647771203435868,0.030263457061401766,0.6761186886815027
110,2020-11-18,"A Peek Into The Markets: US Stock Futures Up; Target, NVIDIA Earnings In Focus",LZB,0.030263457061401766,0.6761186886815027,0.019957348426108634,0.032985187098735214,0.008594567872189707,-0.03323506137761367,0.025845330146949008,0.00506452755088338,-0.35569990720251266
111,2020-11-18,36 Stocks Moving in Wednesday's Pre-Market Session,LZB,0.030263457061401766,0.6761186886815027,0.019957348426108634,0.032985187098735214,0.008594567872189707,-0.03323506137761367,0.025845330146949008,0.00506452755088338,-0.35569990720251266
112,2021-01-07,Stocks That Hit 52-Week Highs On Thursday,LZB,0.011545806953496607,-0.31520000000000004,0.05677286220428068,0.01133216492411604,-0.003263007420410635,-0.011659691016549623,-0.003953521885560529,0.008152780224023104,-0.016647196261682207
113,2021-01-08,Stocks That Hit 52-Week Highs On Friday,LZB,0.008152780224023104,-0.016647196261682207,0.011545806953496607,0.05677286220428068,0.01133216492411604,-0.003263007420410635,-0.011659691016549623,-0.006469553919669968,-0.2708642708642709
114,2021-01-11,Stocks That Hit 52-Week Highs On Monday,LZB,-0.006469553919669968,-0.2708642708642709,0.008152780224023104,0.011545806953496607,0.05677286220428068,0.01133216492411604,-0.003263007420410635,0.013720963570998945,-0.2276985743380855
115,2021-01-13,Stocks That Hit 52-Week Highs On Wednesday,LZB,0.00022929423473305732,0.504746835443038,0.013720963570998945,-0.006469553919669968,0.008152780224023104,0.011545806953496607,0.05677286220428068,0.02454143632713901,0.2218717139852786
116,2021-01-14,Stocks That Hit 52-Week Highs On Thursday,LZB,0.02454143632713901,0.2218717139852786,0.00022929423473305732,0.013720963570998945,-0.006469553919669968,0.008152780224023104,0.011545806953496607,-0.021491160510660134,-0.04704532415375784
117,2021-08-13,"Earnings Magic: Disney Provides Reopening Optimism With ""Bullish"" Theme Park Results",LZB,-0.01372114055910778,-0.30097357440890127,0.012221962684912935,0.023308974525086734,0.03745193039021255,-0.005571775327745332,-0.0014641588301624875,-0.003060454085669684,0.2093115797851175
118,2021-08-16,Major Retailers Are Reporting This Week,LZB,-0.003060454085669684,0.2093115797851175,-0.01372114055910778,0.012221962684912935,0.023308974525086734,0.03745193039021255,-0.005571775327745332,-0.04298077279278201,1.1622244159262913
119,2021-08-17,"Earnings Scheduled For August 17, 2021",LZB,-0.04298077279278201,1.1622244159262913,-0.003060454085669684,-0.01372114055910778,0.012221962684912935,0.023308974525086734,0.03745193039021255,-0.016039756344048084,0.38091614670522
120,2021-11-16,"Earnings Scheduled For November 16, 2021",LZB,0.009449118021780833,0.6219512195121952,-0.014369289919090256,0.017325469779566838,0.016230932040333546,0.006089245410641597,0.001385712498051861,-0.07649110307931584,0.5082990495105688
121,2021-11-16,"5 Stocks To Watch For November 16, 2021",LZB,0.009449118021780833,0.6219512195121952,-0.014369289919090256,0.017325469779566838,0.016230932040333546,0.006089245410641597,0.001385712498051861,-0.07649110307931584,0.5082990495105688
122,2021-11-16,"A Peek Into The Markets: US Stock Futures Edge Lower Ahead Of Earnings, Economic Reports",LZB,0.009449118021780833,0.6219512195121952,-0.014369289919090256,0.017325469779566838,0.016230932040333546,0.006089245410641597,0.001385712498051861,-0.07649110307931584,0.5082990495105688
123,2021-11-17,"A Peek Into The Markets: US Stock Futures Mixed Ahead Of Earnings, Fed Speakers",LZB,-0.07649110307931584,0.5082990495105688,0.009449118021780833,-0.014369289919090256,0.017325469779566838,0.016230932040333546,0.006089245410641597,0.057920738582353914,-0.36455981941309257
124,2021-11-17,"5 Stocks To Watch For November 17, 2021",LZB,-0.07649110307931584,0.5082990495105688,0.009449118021780833,-0.014369289919090256,0.017325469779566838,0.016230932040333546,0.006089245410641597,0.057920738582353914,-0.36455981941309257
125,2022-02-16,Stocks That Hit 52-Week Lows On Wednesday,LZB,-0.1726123805236699,4.973766281416254,0.027057302504175373,-0.004209836507609421,0.003944642974031076,-0.03270643855390554,0.014096179330965297,-0.04378117255935221,-0.6507999877161195
126,2022-02-18,Stocks That Hit 52-Week Lows On Friday,LZB,-0.0006937282838600511,-0.35361885498197165,-0.04378117255935221,-0.1726123805236699,0.027057302504175373,-0.004209836507609421,0.003944642974031076,-0.031586241893225564,-0.1390476190476191
127,2022-11-30,"Nasdaq, S&P Futures Rise As Traders Eye Powell's Speech For Interest Rate Cues — Tesla Gains, Energy And China Stocks In Focus",LZB,0.02329943943202517,0.4977064220183487,0.015648833620114377,-0.01169362849361888,0.002268374479954094,0.00954196812119723,0.019852038068848277,,
