,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2011-01-05,Traders' Schedule for CES Thursday,MSI,0.001508279464933926,-0.3895199163715226,0.07990935311984182,0.0044100270101401495,0.016815926153204597,-0.005574150929439692,0.001116336148160535,-0.0037654360171871515,-0.15803463037505594
1,2011-03-07,comScore Reports January Mobile Subscriber Market Share ,MSI,0.0017435361507509572,-0.13427109974424556,-0.0029802800414473474,0.02494331639603753,0.02880305889034629,-0.011645975100521122,0.013109575393263961,0.034062739046730295,0.035171064713162226
2,2011-05-06,"Comscore Reports March 2011 U.S. Mobile Subscriber Market Share (SCOR, GOOG, MSI, RIMM, AAPL, VZ)",MSI,0.015445854416044513,0.06202538511607725,0.013416689412141913,-0.010400168057277726,-0.008774152676591651,-0.0063211918387244825,-0.016716155049935844,0.011733938676306677,-0.24556296126050203
3,2011-07-05,Hottest and Coldest Sectors For the First Half of 2011,MSI,-0.01849476003181738,-0.36015526268279474,0.00999198777526411,0.0015227972585736271,0.0015246031544637884,0.003059777827764787,0.007929630642007579,-0.007669034652936335,-0.07680370192714647
4,2011-07-25,"Motorola Earnings Preview: Analysts Expect Rising Revenue, Falling EPS Over Previous Quarter",MSI,0.01317866480422003,0.3621167750796901,0.01038157158845654,0.006816677611449551,-0.0020409797819533892,0.008230353337004281,-0.005004316833150502,0.00617299607787869,-0.31908295281582955
5,2011-07-28,Thursday's S&P Sector Recap,MSI,0.046254745146100396,0.17776015507974274,-0.028922505040244184,0.00617299607787869,0.01317866480422003,0.01038157158845654,0.006816677611449551,-0.031917403943048095,-0.25535671534594206
6,2011-07-28,"Technology Sector Bounces Back, Leads the Market in Thursday's Action",MSI,0.046254745146100396,0.17776015507974274,-0.028922505040244184,0.00617299607787869,0.01317866480422003,0.01038157158845654,0.006816677611449551,-0.031917403943048095,-0.25535671534594206
7,2011-10-24,"Earnings Preview: Analysts Expect Motorola's Revenue, Earnings to Dip",MSI,0.008914937165989345,0.5131398733093648,0.03209175098630812,-0.00112087871486366,-0.013707522869297772,0.01594796003431842,-0.011106187812408908,-0.024353620286628574,-0.4788843945351172
8,2011-10-27,US Stock Futures Up After EU Summit; Economic Data In Focus,MSI,0.0159460018550881,0.6711325099434791,0.01126548997069099,-0.024353620286628574,0.008914937165989345,0.03209175098630812,-0.00112087871486366,0.019350799097807903,-0.1538018288863836
9,2011-10-27,Earnings Scheduled For October 27,MSI,0.0159460018550881,0.6711325099434791,0.01126548997069099,-0.024353620286628574,0.008914937165989345,0.03209175098630812,-0.00112087871486366,0.019350799097807903,-0.1538018288863836
10,2012-01-25,Earnings Roundup,MSI,-0.06101151012007611,2.1548861886017456,0.008003664323487092,-0.002311401723471107,-0.009367301521329141,0.012861083361999315,0.010438544481014445,0.008678282069563004,-0.29948283968030087
11,2012-02-27,"Financial Breakfast: Morning News Summary for February 27, 2012",MSI,0.014566163171901403,0.2680442804428045,-0.00201873917611628,-0.005821139594267222,-0.0014033802128838868,-0.014615568338983476,0.030531343486343454,-0.0007974937033699003,-0.3605323400457844
12,2012-03-06,comScore Reports January U.S. Mobile Subscriber Market Share; Samsung Top Handset ,MSI,0.015985994633286538,0.45690734107289277,-0.003343695048078854,0.017003211811545738,0.003815307422221359,-0.006186748438300582,-0.0007974937033699003,0.002719343584618894,-0.3089934237810297
13,2012-04-25,Earnings Scheduled For April 25,MSI,0.05466489470048108,1.974694962730855,0.0014407564076781565,-0.008569790064185123,0.0020447164245178673,-0.0040726828652279945,-0.008479256681257485,-0.0058456332016108,-0.33359933605720127
14,2012-09-13,Apple Aims to Disappoint with New iPhone,MSI,0.014780400783106495,0.20908331011423797,0.009401144587346755,0.00716641821181363,-0.00933088986983377,0.0036646310337282717,0.029769503991567525,0.008379939770709832,0.0027192699451537017
18,2012-09-27,Intel Calls Upon Acer for Smartphone Collaboration,MSI,0.011560931605028024,-0.28293217772672685,-0.012984421693728931,-0.005478383803098952,-0.013129956944832655,0.039751420160706985,-0.010528849101610449,-0.00394116153918711,0.05919615552643065
20,2012-11-12,A Peek Into The Market Before The Trading Starts,MSI,0.005648613554949833,-0.6117583675668395,0.0,-0.010065200874259772,-0.004453263115493877,0.010500315414940342,0.008128570874555763,-0.0028083132022729274,-0.04501300954032961
23,2013-01-23,US Stock Futures Flat Ahead Of McDonald's Earnings,MSI,0.004288869616517532,1.8141142384105962,-0.01220105692203044,0.016712549660358178,0.0015528900347692165,0.007300766646443302,-0.002427760451187422,0.004441174818626825,-0.6419273706040682
24,2013-01-23,"Earnings Scheduled For January 23, 2013",MSI,0.004288869616517532,1.8141142384105962,-0.01220105692203044,0.016712549660358178,0.0015528900347692165,0.007300766646443302,-0.002427760451187422,0.004441174818626825,-0.6419273706040682
29,2013-04-05,Latest Smartphone Usage Numbers Show Apple is Gaining Market Share,MSI,-0.005080109616607209,-0.1519820253570855,0.0030255824767644324,-0.014128710921732068,0.0,-0.005153723438417024,0.007394621332490026,0.007978174012083228,0.093111279333838
33,2013-04-08,These Are the 100 Highest-Paid CEOs in Business Today [DRAFT],MSI,0.007978174012083228,0.093111279333838,-0.005080109616607209,0.0030255824767644324,-0.014128710921732068,0.0,-0.005153723438417024,0.007440127859459578,-0.14213988919667586
34,2013-04-08,These Are the 100 Highest-Paid CEOs in Business Today,MSI,0.007978174012083228,0.093111279333838,-0.005080109616607209,0.0030255824767644324,-0.014128710921732068,0.0,-0.005153723438417024,0.007440127859459578,-0.14213988919667586
38,2013-04-24,"Earnings Scheduled For April 24, 2013",MSI,-0.09279344559760128,2.596715955983494,-0.000485509469547174,0.0009720370010659618,0.009321288770337333,-0.01577338055922961,-0.013182739263317256,0.006604422763493822,-0.5628988694218037
42,2013-05-03,Will Illinois Businesses Head South?,MSI,0.007030986505032866,-0.04141562177712643,0.009225081609115726,-0.014510708803984751,-0.0041781034278912665,0.011267387839686505,0.007271178992881211,-0.0059347762123279635,0.09869762174405428
47,2013-07-24," Earnings Scheduled For July 24, 2013",MSI,-0.06568833005170083,2.4594733642018616,0.0018370753462035871,0.0003342707486437835,0.00825443128362946,-0.0010096854471586258,0.001685902268537598,-0.03194149579310679,-0.3200210904862979
50,2013-08-02,Google Engages In A Delicate Balancing Act with Motorola (GOOG),MSI,0.012653806536423895,0.22953711543889366,0.008936404579851231,0.008831571877721434,0.006295363468560966,-0.004607632550712948,0.00018451407638231387,0.0014279275749666809,-0.3167288378766141
52,2013-08-02,Google Engages in a Delicate Balancing Act with Motorola,MSI,0.012653806536423895,0.22953711543889366,0.008936404579851231,0.008831571877721434,0.006295363468560966,-0.004607632550712948,0.00018451407638231387,0.0014279275749666809,-0.3167288378766141
54,2013-10-23,"Earnings Scheduled For October 23, 2013",MSI,0.03260010884258202,1.7407143520956598,-0.012258967804870236,0.006084546364574228,-0.00180592595547302,0.00345923656038849,0.0036370032837731436,0.0017625843875419545,-0.7963220417528512
55,2013-10-23,"Market Primer: Wednesday, October 23: Fed Taper Outlook Looking Cloudy",MSI,0.03260010884258202,1.7407143520956598,-0.012258967804870236,0.006084546364574228,-0.00180592595547302,0.00345923656038849,0.0036370032837731436,0.0017625843875419545,-0.7963220417528512
62,2013-10-24,"Market Primer: Thursday, October 24: Investors Finally Focused on Earnings",MSI,0.0017625843875419545,-0.7963220417528512,0.03260010884258202,-0.012258967804870236,0.006084546364574228,-0.00180592595547302,0.00345923656038849,0.0076789182587353455,-0.15438401775804667
64,2013-10-24,"Market Primer: Thursday, October 24: Investors Switch Focus To Earnings",MSI,0.0017625843875419545,-0.7963220417528512,0.03260010884258202,-0.012258967804870236,0.006084546364574228,-0.00180592595547302,0.00345923656038849,0.0076789182587353455,-0.15438401775804667
66,2014-03-12,#PreMarket Primer: Wednesday March 12: China's Slowdown In Focus,MSI,-0.011403617425248536,0.7421726755218216,-0.005268645352000334,-0.003151171600726088,0.0010514723968670925,0.0036180623533630385,-0.006440720465837879,-0.012457663339594749,-0.15391422736555482
67,2014-03-12,"#PreMarket Primer: Wednesday, March 12: China's Slowdown In Focus",MSI,-0.011403617425248536,0.7421726755218216,-0.005268645352000334,-0.003151171600726088,0.0010514723968670925,0.0036180623533630385,-0.006440720465837879,-0.012457663339594749,-0.15391422736555482
70,2014-04-21,Microsoft and Motorola Solutions Sign Licensing Agreement,MSI,-0.010134759135282279,-0.4643540221263829,-0.0012653927650302377,-0.002209049456032841,-0.006428440158317006,0.006152369715471728,-0.009376466586205279,0.012158045321334132,0.48414198697752564
73,2014-07-18,Benzinga Weekly Preview: Earnings Season Continues With Geopolitical Tensions As A Backdrop,MSI,0.008469161928897462,0.24883106322423254,-0.011116201497617384,0.0027487192257169557,-0.008928801563282796,0.0012122881230511862,-0.0067722503365909015,0.0038176807603034213,-0.31640349449237615
76,2014-08-05,"Earnings Scheduled For August 5, 2014 ",MSI,-0.04242712417329908,0.30554488902542043,0.004544217900550818,0.0021984792114650986,-0.01773867844611421,0.001390212182575734,-0.007207465117462064,-0.0029322948498641255,-0.05858995852819204
77,2014-08-05,"Stocks To Watch For August 5, 2014",MSI,-0.04242712417329908,0.30554488902542043,0.004544217900550818,0.0021984792114650986,-0.01773867844611421,0.001390212182575734,-0.007207465117462064,-0.0029322948498641255,-0.05858995852819204
82,2014-08-06,Markets Little Changed As Ukraine Uncertainty And Fears Persist,MSI,-0.0029322948498641255,-0.05858995852819204,-0.04242712417329908,0.004544217900550818,0.0021984792114650986,-0.01773867844611421,0.001390212182575734,0.0006537240837400926,-0.2944980785453182
87,2014-09-08,Apple Ranked As Most Widely Used Smartphone In July,MSI,0.03616884507924101,3.6905666544102624,-0.0015256774878931179,0.0006787498139866344,-0.001186573200384844,-0.006565675038333163,0.0005055447278325964,0.0009835295251900966,-0.7754744754422486
89,2014-09-08,"Apple Inc. Ranked As Most Widely Used Smartphone In July, Facebook Inc Has Top Smartphone App",MSI,0.03616884507924101,3.6905666544102624,-0.0015256774878931179,0.0006787498139866344,-0.001186573200384844,-0.006565675038333163,0.0005055447278325964,0.0009835295251900966,-0.7754744754422486
91,2014-09-08,Apple Inc. Ranked As Most Widely Used Smartphone In July,MSI,0.03616884507924101,3.6905666544102624,-0.0015256774878931179,0.0006787498139866344,-0.001186573200384844,-0.006565675038333163,0.0005055447278325964,0.0009835295251900966,-0.7754744754422486
