,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-03-05,"Gainers And Losers In The Financial Sector On March 4 (C, BAC, JPM, WFC, MS, GS, BBT, FITB, MTB)",MTB,0.03138119101497572,-0.29507217521154805,-0.005743797831962438,-0.023706108453453,0.008482840098222644,0.004778653976838632,0.011099446499278631,0.0022912170245090735,0.27976274537494694
1,2010-09-08,Deutsche's Question Bank September 2010,MTB,0.008972853321467023,-0.23972772277227727,-0.047565152729402316,0.018904378896036578,-0.002399912763822787,0.021601686940421194,0.008122432040757799,0.02047701648038114,0.05827771447175656
2,2010-10-20,"Earnings Scheduled For October 20 (MS, EBAY, BA, WFC, GENZ, ETFC, STX, DAL, MTB, AMR, LCC, NFLX, ADS, ABT, UTX, STJ, MI, USB, MO, BLK, SWK)",MTB,-0.02192000073522893,0.8847302857787047,-0.01380391665820735,0.020872179731891594,-0.005815169993295455,-0.014587164759306548,-0.009929510149872867,-0.014986059823821729,-0.3300535335107815
3,2011-01-14,"US Stock Futures Mixed As Investors Await Several Economic Data, Intel Reports Strong Earnings",MTB,0.001390874041064416,0.7119159284349488,-0.012591299337954553,0.007380302005694395,0.007200554204423559,-0.008293127378477205,-0.008224676696385824,-0.002083873881813081,-0.29567246715032214
4,2011-01-14,News Summary,MTB,0.001390874041064416,0.7119159284349488,-0.012591299337954553,0.007380302005694395,0.007200554204423559,-0.008293127378477205,-0.008224676696385824,-0.002083873881813081,-0.29567246715032214
5,2012-07-17,Earnings Scheduled For July 17,MTB,0.026092354711429788,0.7319310807786976,-0.005120422566278315,0.01954645917853326,-0.01565521331440245,0.012707345857883245,-0.012547895411105792,0.013880608354927881,0.19754521963824279
6,2012-07-17,US Stock Futures Up; All Eyes On Bernanke,MTB,0.026092354711429788,0.7319310807786976,-0.005120422566278315,0.01954645917853326,-0.01565521331440245,0.012707345857883245,-0.012547895411105792,0.013880608354927881,0.19754521963824279
11,2012-08-27,"Social Media Outlook for Monday August 27 (HCBK, DTG, TIF, INTC)",MTB,0.04599914016354245,11.768859800206682,0.004327678526747647,-0.013044244749664147,-0.004595507006103561,-0.00752671432514207,0.004697457766999813,-0.015586176904419213,-0.28369483112118266
15,2012-10-26,Beating Buffett With ETFs,MTB,-0.007388899112112934,0.035936113575865125,-0.0016285865743992378,0.00471643105982178,-0.006502890932543637,0.008389824762277565,-0.011250909451053448,0.006380335138740589,1.457673090649536
19,2013-01-16,"Earnings Scheduled For January 16, 2013",MTB,-0.005316543401310936,-0.06735306735306734,0.006420582911594197,-0.0043586505578683266,-0.0028976026824900636,0.007198530023184491,0.0043965509306469475,0.004178864095267576,-0.01858325666973326
21,2013-01-16,"US Stock Futures Down; Goldman Sachs, JPMorgan Earnings In Focus",MTB,-0.005316543401310936,-0.06735306735306734,0.006420582911594197,-0.0043586505578683266,-0.0028976026824900636,0.007198530023184491,0.0043965509306469475,0.004178864095267576,-0.01858325666973326
23,2013-01-16,"Benzinga Market Primer, Wednesday January 16",MTB,-0.005316543401310936,-0.06735306735306734,0.006420582911594197,-0.0043586505578683266,-0.0028976026824900636,0.007198530023184491,0.0043965509306469475,0.004178864095267576,-0.01858325666973326
24,2013-01-16,"Benzinga Market Primer: Wednesday, January 16",MTB,-0.005316543401310936,-0.06735306735306734,0.006420582911594197,-0.0043586505578683266,-0.0028976026824900636,0.007198530023184491,0.0043965509306469475,0.004178864095267576,-0.01858325666973326
29,2013-04-15,"Benzinga Market Primer: Monday, April 15: Tax Day Edition",MTB,-0.018754976580105942,-0.4078158328973317,-0.04460544678807454,0.0041151119091196176,0.016538652213914373,0.016816481874766254,-0.0010868945317176193,0.0012201117676451378,-0.0006796248470843924
33,2013-04-16,"Benzinga Market Primer, Tuesday April 16",MTB,0.0012201117676451378,-0.0006796248470843924,-0.018754976580105942,-0.04460544678807454,0.0041151119091196176,0.016538652213914373,0.016816481874766254,-0.019597808775399517,-0.39961915125136016
35,2013-04-16,"Benzinga Market Primer: Tuesday, April 16",MTB,0.0012201117676451378,-0.0006796248470843924,-0.018754976580105942,-0.04460544678807454,0.0041151119091196176,0.016538652213914373,0.016816481874766254,-0.019597808775399517,-0.39961915125136016
38,2013-05-14,A Financial Services ETF Buffett Would Love,MTB,0.00629006044073499,0.6044013623264344,-0.0017387990127777364,0.004365976420669604,-0.0011628111185473244,0.008699764403644394,0.010569951352343843,0.013270445165827205,-0.05486610058785113
42,2013-07-17,"Earnings Scheduled For July 17, 2013",MTB,0.0029761248539665885,-0.0077749828493025586,-0.003727737091166472,0.0021225999157505893,0.007958878721903817,-0.0057012058616521255,-0.00042532811888218447,0.011531622679751052,0.7295459783360221
45,2014-03-26,Federal Reserve Board announces approval of capital plans of 25 bank holding companies participating in the Comprehensive Capital Analysis and Review,MTB,-0.0015680376259258333,0.08166189111747846,0.000991421647213997,-0.000660511201407088,0.0014054000561207758,0.02274481841673537,0.0021180825313056317,-0.011737339176988604,0.5492273730684327
48,2014-04-15,"#PreMarket Primer: Tuesday, April 15: Hopes For Diplomacy In Ukraine Help Settle Markets",MTB,-0.0038061035184159264,-0.09749325106054763,0.022246448035697863,-0.002025871629646625,-0.023815491592483307,0.003141180468533289,0.00892432476436622,0.010382805867281686,-0.32014357747201094
54,2014-04-28,"Financials, Futures Move Lower Following News BofA Has Suspended 2014 Capital Plan",MTB,-0.0028631820845012035,0.473623092236231,-0.005451278078572597,-0.0006503659616921009,0.008528200609937198,0.006437065215840088,-0.0030440852887707592,-0.0022972173294016907,-0.41314871102105144
58,2014-10-17,"Earnings Scheduled For October 17, 2014",MTB,-0.028409159667191153,0.276476440264086,0.002502821647993203,-0.03361129922682926,0.008071209802263946,-0.0085025033560846,-0.008677455639651499,0.002038119688574591,-0.3848660904066884
59,2014-10-17,"#PreMarket Primer: Friday, October 17: CDC Under Fire As Ebola Panic Grows",MTB,-0.028409159667191153,0.276476440264086,0.002502821647993203,-0.03361129922682926,0.008071209802263946,-0.0085025033560846,-0.008677455639651499,0.002038119688574591,-0.3848660904066884
68,2015-01-20,"Earnings Scheduled For January 20, 2015",MTB,-0.018864672594748888,-0.17775434041862725,0.005682793169186295,-0.008065088194188608,-0.029785741312045033,0.006606598102361971,-0.006563237430408875,-0.005139266437672707,0.07794770596941292
71,2015-03-05,The 10 Worst Fed Stress Test Scores,MTB,0.006288504599480937,0.2216416652620934,-0.0022817338330702874,-0.0003257792925227543,0.01462810253455471,-0.0028840611741660638,0.00405419507052085,0.009819844029343106,0.5547737306843268
73,2015-03-05,The 10 Worst Scores On The Bank Stress Test,MTB,0.006288504599480937,0.2216416652620934,-0.0022817338330702874,-0.0003257792925227543,0.01462810253455471,-0.0028840611741660638,0.00405419507052085,0.009819844029343106,0.5547737306843268
75,2015-03-06,"Analyst: Goldman Sachs, Morgan Stanley Cap Returns At Risk",MTB,0.009819844029343106,0.5547737306843268,0.006288504599480937,-0.0022817338330702874,-0.0003257792925227543,0.01462810253455471,-0.0028840611741660638,0.0003215086089589647,-0.4467122193628539
77,2015-04-20,"Earnings Scheduled For April 20, 2015",MTB,-0.013243677161291378,0.22161276535118968,-0.01947886295848389,-0.006210973588554047,0.005841324870688114,-0.00764821998566978,-0.0014470275576194958,0.0023487141351390406,-0.35354831185491864
80,2015-06-10,Deutsche Bank Picks the Winners in Bank Stocks As Rates Head Higher,MTB,0.012736423445597778,-0.0018318373328448656,0.007017666482413976,0.0008881077688360772,0.015245890924575844,-0.005218422763658137,0.013386110661261386,-0.0017400358006771643,-0.08552027895026615
82,2015-07-16,"Earnings Scheduled For July 16, 2015",MTB,0.022112525927422855,0.44358617196403705,0.006290208571387401,-0.0010209191616845636,0.008715491976194256,0.016265477469327827,0.009592730423226392,0.0031345612899025266,-0.20464912280701753
85,2015-12-17,"PNC, BAC, CFG, JPM, MTB...Deutsche Bank Sees PNC As Biggest Winner From Fed's Rate Hike",MTB,-0.013288773360509487,0.02577220077220077,0.017382707707835898,0.0280467032683811,0.0038201849265400156,-0.018263286940109258,0.013804225230791944,-0.03775876958695057,2.3578620494965654
87,2015-12-17,Deutsche Bank Sees PNC As Biggest Winner From Fed's Rate Hike,MTB,-0.013288773360509487,0.02577220077220077,0.017382707707835898,0.0280467032683811,0.0038201849265400156,-0.018263286940109258,0.013804225230791944,-0.03775876958695057,2.3578620494965654
91,2016-01-19,"Earnings Scheduled For January 19, 2016",MTB,0.017800767127624573,-0.008119158878504673,-0.025370610463472,0.004591417389731678,-0.034120858791512276,0.012462206423404565,-0.00943993605780269,-0.015232613514254534,0.2010482303751251
94,2016-04-18,"Earnings Scheduled For April 18, 2016",MTB,0.008709822328792471,0.07350637726560749,-0.012132216880950009,0.00597257943512397,0.036608327896046955,0.015304830748518405,0.008359282726240647,0.01761529190540534,-0.046378322042730624
97,2016-06-29,Stress Test Finale: Everything You Need To Know About Banks Returning Profits To Shareholders,MTB,0.017301895021982316,-0.11196062922928196,0.025464237077112317,-0.03426852760389687,-0.06460733157866894,0.026336273577745484,-0.004581470912991437,0.04185736253171135,0.3327065809005443
101,2016-07-20,"Earnings Scheduled For July 20, 2016",MTB,-0.04143870669534622,2.067612566961054,0.0016873670245898253,-0.004451468490053623,-0.003348537705250232,0.012716211133148247,-0.0011853726298625133,-0.009489336309469243,-0.5098640740041533
103,2016-07-20,12 Stocks You Should Be Watching Today,MTB,-0.04143870669534622,2.067612566961054,0.0016873670245898253,-0.004451468490053623,-0.003348537705250232,0.012716211133148247,-0.0011853726298625133,-0.009489336309469243,-0.5098640740041533
