,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2013-07-02,"Afternoon Market Gainers for July 2, 2013",NDLS,0.22693005628339225,1.762826536365345,0.04680275430484704,,,,,-0.046610184902091234,-0.07356642405278557
1,2013-07-02,Afternoon Market Gainers,NDLS,0.22693005628339225,1.762826536365345,0.04680275430484704,,,,,-0.046610184902091234,-0.07356642405278557
6,2013-07-02,Mid-Afternoon Market Update: Markets Turn Back; Noodles & Company Continues to Rally,NDLS,0.22693005628339225,1.762826536365345,0.04680275430484704,,,,,-0.046610184902091234,-0.07356642405278557
12,2013-07-08,"Market Wrap for Monday, July 8: Stocks Start Trading Week With Modest Rally ",NDLS,-0.0961190963643146,0.6779320863771374,-0.015111117892795178,-0.046610184902091234,0.22693005628339225,0.04680275430484704,,0.026959510218027116,-0.5337288297770548
16,2013-07-08,"Mid-Day Market Update: NASDAQ Turns Lower, Linn Energy Surges On Analyst Upgrade",NDLS,-0.0961190963643146,0.6779320863771374,-0.015111117892795178,-0.046610184902091234,0.22693005628339225,0.04680275430484704,,0.026959510218027116,-0.5337288297770548
17,2013-07-08,"Mid-Morning Market Update: Markets Open Higher, ISS Supports Dell Buyout",NDLS,-0.0961190963643146,0.6779320863771374,-0.015111117892795178,-0.046610184902091234,0.22693005628339225,0.04680275430484704,,0.026959510218027116,-0.5337288297770548
20,2013-11-07,Big Mac Versus Big King – Let the Burger Wars Begin,NDLS,-0.09811486292014582,0.7669587796170074,-0.021178409532759956,0.05555551802963721,0.028688574425337343,0.0029686515345990205,0.00297757829980716,0.0009501405457754686,-0.8568148420279207
22,2014-02-26,Market Wrap For February 26: Markets Slightly Higher on Housing Data,NDLS,0.07912681010760458,2.6463646745336886,0.011034524851831984,-0.022911011026429118,0.04125729334657069,-0.00890124306072626,-0.03722547894933803,-0.023008846143273476,0.7005950516755401
24,2014-02-26,Market Wrap For February 26: Markets Slightly Higher On Housing Data,NDLS,0.07912681010760458,2.6463646745336886,0.011034524851831984,-0.022911011026429118,0.04125729334657069,-0.00890124306072626,-0.03722547894933803,-0.023008846143273476,0.7005950516755401
26,2014-05-27,Market Wrap For May 27: S&P 500 Closes At New Record High After Long Weekend,NDLS,0.0024132130520406747,3.3245227606461087,0.0,-0.0419074280979147,0.06396057770844377,0.003394033041328237,0.024660155148312768,-0.016551286326726533,-0.48455008488964346
27,2014-05-27,Market Wrap For May 27: S&P 500 Closes At New Record High After Holiday Weekend,NDLS,0.0024132130520406747,3.3245227606461087,0.0,-0.0419074280979147,0.06396057770844377,0.003394033041328237,0.024660155148312768,-0.016551286326726533,-0.48455008488964346
30,2014-07-22,McDonald's Misses Q2 Earnings & Revenues on Sluggish Comps ,NDLS,0.0010637864711089406,-0.0274135876042908,0.017683208035231157,-0.0018011939480158112,-0.019081237552527885,-0.03148528740291501,-0.026000022888183594,-0.004605000456061048,-0.3762254901960784
33,2014-08-13,"Earnings Scheduled For August 13, 2014",NDLS,-0.004737498602244039,0.2265633899077344,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,0.0025594037969975947,-0.16065051107260941,4.177098811292719
36,2014-08-14,"Markets Gather Some Momentum As Volume Remains Light, Geopolitical Tension Improving",NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
43,2014-08-14,​Mid-Afternoon Market Update: Oil Prices Fall; NetApp Upgraded To Buy At Needham,NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
45,2014-08-14,Oil Prices Fall; NetApp Upgraded At Needham,NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
47,2014-08-14,Markets Open Higher; Wal-Mart Lowers Earnings Forecast,NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
48,2014-08-14,Mid-Morning Market Update: Markets Open Higher; Wal-Mart Lowers Earnings Forecast,NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
50,2014-08-14,Red Robin Dips After Downbeat Earnings; Kohl's Shares Jump,NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
52,2014-08-14,Mid-Day Market Update: Red Robin Dips After Downbeat Earnings; Kohl's Shares Jump,NDLS,-0.16065051107260941,4.177098811292719,-0.004737498602244039,-0.044150946275243186,-0.014503510542977938,-0.0168190488265203,-0.0025528699718982972,-0.008506630740727328,-0.8241519723034423
55,2015-05-05,"After-Hours Movers Tuesday: Borderfree Inc., Herbalife Ltd",NDLS,0.025247440706481994,-0.01758982035928147,-0.02744341272323647,0.037462536605944674,-0.00398009563123225,-0.03597122236345651,-0.009971466752041525,-0.19362619501705836,3.0825396825396822
57,2015-05-05,"Tuesday's After-Hours Movers: Borderfree Jumps Up 100%, Zulily Drops 18%",NDLS,0.025247440706481994,-0.01758982035928147,-0.02744341272323647,0.037462536605944674,-0.00398009563123225,-0.03597122236345651,-0.009971466752041525,-0.19362619501705836,3.0825396825396822
59,2015-08-05,It's a Busy Week for Restaurant Stocks: Here's Who Wins and Who Loses,NDLS,0.009677394743888623,0.24496644295302006,-0.005134783318216152,0.006459973154190335,0.016414970946433183,0.016010658758019547,0.04242000360380116,-0.03258781390663157,0.29350104821802936
61,2015-11-05,"Earnings Scheduled For November 5, 2015",NDLS,-0.10666663558394818,4.31852879944483,-0.02102972898152633,-0.0064841607958096015,-0.06025729964381521,0.008879789029527574,0.03244005840952413,-0.028192383147420896,-0.7731602296450939
64,2016-05-03,"After-Hours Recap: Fast Food Earnings, Index Movers",NDLS,-0.030782711637485694,1.4371002132196162,0.019730966327854205,-0.008007131176207993,-0.007943526318970329,-0.028301880619603703,0.03368795420536985,0.004537135660944713,-0.16214639836687084
66,2016-05-03,"After Hours Recap: Fast Food Earnings, Index Movers, After-Hours Runners",NDLS,-0.030782711637485694,1.4371002132196162,0.019730966327854205,-0.008007131176207993,-0.007943526318970329,-0.028301880619603703,0.03368795420536985,0.004537135660944713,-0.16214639836687084
68,2016-07-26,15 Biggest Mid-Day Losers For Tuesday,NDLS,-0.22779920220906325,12.77431906614786,0.05177657415800252,0.0030550598348104696,-0.013065338385219394,-0.002006063914543166,0.015275007827510345,-0.0587499737739563,-0.6265536723163843
71,2016-07-26,15 Stocks Moving In Tuesday's Pre-Market Session,NDLS,-0.22779920220906325,12.77431906614786,0.05177657415800252,0.0030550598348104696,-0.013065338385219394,-0.002006063914543166,0.015275007827510345,-0.0587499737739563,-0.6265536723163843
74,2017-11-09,10 Stocks Moving In Thursday's After-Hours Session,NDLS,-0.011627950817908794,1.2599078341013823,0.00467289251077152,-0.03820215881871247,-0.011111153496636272,0.0067114566479797855,0.03953478881770334,0.035294140086454595,0.8572593800978794
75,2017-11-09,"Earnings Scheduled For November 9, 2017",NDLS,-0.011627950817908794,1.2599078341013823,0.00467289251077152,-0.03820215881871247,-0.011111153496636272,0.0067114566479797855,0.03953478881770334,0.035294140086454595,0.8572593800978794
76,2018-07-18,5 Stocks Moving In Wednesday's After-Hours Session,NDLS,-0.02066115637342103,1.1578519121236779,-0.028112404269672764,0.02469137449826131,-0.028000030517578156,0.059322016775454234,-0.008403313529497414,-0.0042194252426397405,0.4030920060331824
77,2018-07-18,"Earnings Scheduled For July 18, 2018",NDLS,-0.02066115637342103,1.1578519121236779,-0.028112404269672764,0.02469137449826131,-0.028000030517578156,0.059322016775454234,-0.008403313529497414,-0.0042194252426397405,0.4030920060331824
78,2018-07-19,26 Stocks Moving In Thursday's Pre-Market Session,NDLS,-0.0042194252426397405,0.4030920060331824,-0.02066115637342103,-0.028112404269672764,0.02469137449826131,-0.028000030517578156,0.059322016775454234,-0.004237304231073047,-0.6181134103735555
79,2018-07-19,"10 Stocks To Watch For July 19, 2018",NDLS,-0.0042194252426397405,0.4030920060331824,-0.02066115637342103,-0.028112404269672764,0.02469137449826131,-0.028000030517578156,0.059322016775454234,-0.004237304231073047,-0.6181134103735555
80,2018-10-23,"Earnings Scheduled For October 23, 2018",NDLS,0.006354243267392645,-0.07662687716596073,0.021915622114593303,-0.0595420354146583,-0.0098260895891632,0.0,0.1574802440071208,-0.24782954415271197,5.506255212677231
81,2018-10-24,Mid-Afternoon Market Update: NASDAQ Down Over 2.5%; Clementia Pharmaceuticals Shares Spike Higher,NDLS,-0.24782954415271197,5.506255212677231,0.006354243267392645,0.021915622114593303,-0.0595420354146583,-0.0098260895891632,0.0,-0.02518360732874214,-0.07204204589155239
82,2018-10-24,Mid-Day Market Update: Dow Falls Over 100 Points; Zix Shares Rise Following Q3 Results,NDLS,-0.24782954415271197,5.506255212677231,0.006354243267392645,0.021915622114593303,-0.0595420354146583,-0.0098260895891632,0.0,-0.02518360732874214,-0.07204204589155239
83,2018-10-24,Mid-Morning Market Update: Markets Mostly Lower; Boeing Earnings Top Expectations,NDLS,-0.24782954415271197,5.506255212677231,0.006354243267392645,0.021915622114593303,-0.0595420354146583,-0.0098260895891632,0.0,-0.02518360732874214,-0.07204204589155239
84,2018-10-24,"14 Stocks To Watch For October 24, 2018",NDLS,-0.24782954415271197,5.506255212677231,0.006354243267392645,0.021915622114593303,-0.0595420354146583,-0.0098260895891632,0.0,-0.02518360732874214,-0.07204204589155239
