,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-02-01,"Cramer Says The Financial And Healthcare Sectors Might Have Hit Bottom (HUM, XOM, WHR, DOW, RL, CSCO, CLX, MA, WY)",RL,0.013901632445832979,-0.5287472501337773,0.0009771510113232296,-0.013131441834595137,0.005329240643678679,-0.0024168262949432195,,0.030431166747793892,0.7998990663638657
1,2010-06-15,"Ralph Lauren's Big Sale (RL, JPM, GS)",RL,-0.020553635266302495,1.3941233140655105,0.008627868567649966,0.0030052347616631447,0.036501640014486636,0.010829912755661697,0.010305343738847617,-0.02814167344988927,1.9523560420103818
2,2010-10-25,"Mad Money Lightning Round: Cramer Likes Skyworks Solutions, Baidu.com (RL, SWKS, BIDU, NKE, UA)",RL,0.008508139968247175,0.7007082476582134,0.009447361355403583,-0.005020700121767807,0.005154006306540948,-0.026343708855504078,0.004093820327907727,0.01750463142305758,0.7919129500268673
3,2011-02-23,"How To Trade Saks' Earnings Beat (SKS, JWN, TIF, RL, COH)",RL,-0.013572406162587258,0.4389649923896499,-0.03281790807680285,0.024495731929388587,-0.005097080792555442,0.004158567685584202,-0.011228651766089337,0.013841256337844277,-0.21535857837952188
4,2011-07-28,Benzinga's Top Pre-Market Gainers,RL,0.01916852838603278,0.42644723545546404,-0.03180503286229308,-0.008156822054088742,-0.006170154917075621,-0.004996558414985919,0.01367613763638409,-0.0037616836717151436,-0.13794150389636672
5,2011-08-10,Earnings Scheduled For August 10,RL,0.04530713985034884,0.30511445443732654,0.04984165595254453,-0.08319884539517708,0.03533698869358415,-0.07141778499382168,0.023064821324164653,0.04206559067540927,-0.5933168118954353
6,2011-08-10,US Stock Futures Slightly Down; Gold Futures Surge,RL,0.04530713985034884,0.30511445443732654,0.04984165595254453,-0.08319884539517708,0.03533698869358415,-0.07141778499382168,0.023064821324164653,0.04206559067540927,-0.5933168118954353
7,2011-08-12,"Industrials, Oil & Gas, and Consumer Goods Lead Market Rally",RL,0.05461503515179378,-0.07740997012108819,0.04206559067540927,0.04530713985034884,0.04984165595254453,-0.08319884539517708,0.03533698869358415,0.021862515467278465,-0.17744066135424208
8,2011-09-28,"Financial Breakfast: Morning News Summary for September 28, 2011",RL,-0.03372081837822194,0.27695030231529283,0.013281204448489348,0.0019792768086150936,0.01969341863763696,-0.021316723522711856,-0.032549438504590134,-0.026191222103841838,0.11213766023790273
9,2011-11-15,"A Tale of Two Economies: TJX is ""Shopportunistic"" ",RL,-0.004483558875378657,0.04552405599341247,0.003922809717763931,0.02830285142983202,0.00853689674662128,-0.057277723384920654,0.010997021979513466,-0.0219423586987737,0.052317731773177334
10,2011-12-14,Are You a Perfect 10 or an Ugly 1?,RL,-0.01510559882784901,0.7389464468116154,-0.028856611810395227,-0.01345283297619393,0.005740194524898712,-0.02015418284300252,-0.00849779051277677,0.008856713261390592,-0.36091298145506423
11,2012-02-15,"VF Corp. Earnings Preview: Double-Digit EPS, Sales Growth Expected",RL,-0.012358386629030549,0.1469433538979248,0.013981318119210773,-0.0013325190340661708,0.00034806200666559484,0.006122751989694253,0.09180640916167726,0.010485291306590483,-0.13799511002444986
12,2012-07-12,Two-year low for euro may spell more U.S earnings trouble,RL,-0.013762908887292147,-0.3270414443988511,-0.03423816659289536,0.009058321964595661,-0.01391748358196554,-0.02147837702981492,0.020888948130361573,0.03017497193103602,-0.3212543554006969
14,2012-08-08,"Benzinga Market Primer, Wednesday August 8",RL,-0.010978196889804837,1.0240195762766438,0.01979219763052864,0.03013619573569626,0.03960916078468624,-0.015527188424076965,-0.01392557717701115,-0.019293256001212566,-0.687060545321498
15,2012-08-08,"US Stock Futures Down Ahead Of Economic Data, Earnings",RL,-0.010978196889804837,1.0240195762766438,0.01979219763052864,0.03013619573569626,0.03960916078468624,-0.015527188424076965,-0.01392557717701115,-0.019293256001212566,-0.687060545321498
21,2012-11-01,US Stock Futures Down Ahead Of Economic Data,RL,0.03481076830148999,-0.09525376326396318,0.007670589756893609,-0.008000004316678466,-0.004983348174527169,-0.0046376341730037796,-0.02364770656668813,0.010751985177158474,0.37394308573506674
24,2012-12-13,Friday is the Last Day Companies Can Pay Special Dividends,RL,-0.008859915038403443,-0.3563763695922286,-0.023741800911661892,0.01434374016488027,-0.021692969302199328,0.01034083181674883,0.006678247896866107,0.008872560436740118,0.3990873990873991
27,2013-02-06,"Earnings Scheduled For February 6, 2013",RL,0.05894115773925268,1.5019157088122603,0.015581125642966764,0.00519996207448048,-0.02967380090624172,-0.005614118862622308,-0.0031561379049107607,0.01964155662181688,-0.5483732301657667
29,2013-02-06,"Stocks To Watch For February 6, 2013",RL,0.05894115773925268,1.5019157088122603,0.015581125642966764,0.00519996207448048,-0.02967380090624172,-0.005614118862622308,-0.0031561379049107607,0.01964155662181688,-0.5483732301657667
33,2013-02-06,US Stock Futures Flat Ahead Of Time Warner Earnings,RL,0.05894115773925268,1.5019157088122603,0.015581125642966764,0.00519996207448048,-0.02967380090624172,-0.005614118862622308,-0.0031561379049107607,0.01964155662181688,-0.5483732301657667
36,2013-04-05,Tesla's Fundamental Flaw That No One Is Talking About,RL,-0.005246682879183839,0.5384861066751836,0.0052743557512024974,0.004763820957316867,0.007076782646201707,-0.015120132919102303,-0.0023573062334266703,0.005156077641317092,-0.39090720365372633
37,2013-04-05,Tesla's Fundamental Flaw No One's Talking About,RL,-0.005246682879183839,0.5384861066751836,0.0052743557512024974,0.004763820957316867,0.007076782646201707,-0.015120132919102303,-0.0023573062334266703,0.005156077641317092,-0.39090720365372633
42,2013-05-17,"Weekly Preview: FOMC Minutes in Focus, Earnings Season Wanes",RL,0.011958713400814336,-0.45528884199419684,-0.010229912441207856,0.0008580011954593125,0.015016940654016597,-0.0065404814305950465,0.007515371237781565,-0.00176435502613137,0.7968523002421308
46,2013-05-23,US Stock Futures Down Ahead Of Economic Data,RL,-0.023237129858743266,0.282316258351893,-0.007913202779728179,0.015427465150420483,-0.00176435502613137,0.011958713400814336,-0.010229912441207856,-0.014807724166194247,-0.2784493538974573
51,2013-05-23,"Earnings Scheduled For May 23, 2013",RL,-0.023237129858743266,0.282316258351893,-0.007913202779728179,0.015427465150420483,-0.00176435502613137,0.011958713400814336,-0.010229912441207856,-0.014807724166194247,-0.2784493538974573
54,2013-11-06,Dow Jumps 129 & Hits a Record High; Twitter IPO Prices at $26,RL,0.05450063215967105,0.6564714278431971,0.009434285453476354,0.0046800389154471045,0.019077845667684556,-0.007073793643225912,0.007306715324582047,-0.04270968231413774,-0.21243268195106935
56,2013-11-06,Dow Jumps 129 & Hits a Record High; Twitter IPO pricing near,RL,0.05450063215967105,0.6564714278431971,0.009434285453476354,0.0046800389154471045,0.019077845667684556,-0.007073793643225912,0.007306715324582047,-0.04270968231413774,-0.21243268195106935
57,2013-11-06,"Dow jumps 129, hits a record high; Twitter IPO pricing near",RL,0.05450063215967105,0.6564714278431971,0.009434285453476354,0.0046800389154471045,0.019077845667684556,-0.007073793643225912,0.007306715324582047,-0.04270968231413774,-0.21243268195106935
63,2013-11-18,13F roundup ,RL,-0.016088509841703402,-0.3711065221132335,-0.004358268494162876,0.003407406135482516,0.026707211855230284,-0.006027806320593299,-0.005132342389724487,0.0010975770171792743,-0.23614721576139008
65,2013-11-18,2013 3Q 13F Roundup,RL,-0.016088509841703402,-0.3711065221132335,-0.004358268494162876,0.003407406135482516,0.026707211855230284,-0.006027806320593299,-0.005132342389724487,0.0010975770171792743,-0.23614721576139008
69,2014-01-16,Market Wrap For January 16: Markets End Two Day Winning Streak,RL,-0.02837966728181074,1.7712614606386343,0.0036426972013103853,-0.00017927160418040877,-0.03707955202063884,0.006189366474424363,0.0032497436479672626,-0.005020695239927986,-0.4036849010324568
73,2014-02-05,Market Wrap For February 5: Markets Unsure of Which Direction to Take,RL,-0.03547806995736502,5.072906195439395,0.003383823307748557,-0.020587545001893637,-0.00846832323365454,0.017490569892600005,-0.007847526356219325,0.023670270806104066,-0.8119598550320603
75,2014-02-05,"Earnings Scheduled For February 5, 2014",RL,-0.03547806995736502,5.072906195439395,0.003383823307748557,-0.020587545001893637,-0.00846832323365454,0.017490569892600005,-0.007847526356219325,0.023670270806104066,-0.8119598550320603
78,2014-02-05,Market Wrap For February 5: Markets Unsure Of Which Direction To Take,RL,-0.03547806995736502,5.072906195439395,0.003383823307748557,-0.020587545001893637,-0.00846832323365454,0.017490569892600005,-0.007847526356219325,0.023670270806104066,-0.8119598550320603
80,2014-02-06,#PreMarket Primer: Thursday February 6: Taking a Breather,RL,0.023670270806104066,-0.8119598550320603,-0.03547806995736502,0.003383823307748557,-0.020587545001893637,-0.00846832323365454,0.017490569892600005,0.024042330042542748,-0.10063009636767972
82,2014-02-06,"#PreMarket Primer: Thursday, February 6: Markets Taking A Breather After Twitter Earnings",RL,0.023670270806104066,-0.8119598550320603,-0.03547806995736502,0.003383823307748557,-0.020587545001893637,-0.00846832323365454,0.017490569892600005,0.024042330042542748,-0.10063009636767972
84,2014-02-26,Market Wrap For February 26: Markets Slightly Higher on Housing Data,RL,0.013313037888980084,0.890400410677618,0.004520623441134797,0.005492503586417952,0.0046934146210224625,0.004395795155297755,-0.0011453152871039318,-0.0020354122513777106,0.9952477936184658
85,2014-02-26,Market Wrap For February 26: Markets Slightly Higher On Housing Data,RL,0.013313037888980084,0.890400410677618,0.004520623441134797,0.005492503586417952,0.0046934146210224625,0.004395795155297755,-0.0011453152871039318,-0.0020354122513777106,0.9952477936184658
88,2014-02-28,Report: J. Crew Considering Going Public This Year,RL,-0.0043882336548317635,-0.590949302483838,-0.0020354122513777106,0.013313037888980084,0.004520623441134797,0.005492503586417952,0.0046934146210224625,-0.00502873838673934,-0.17850607220096493
92,2014-03-18,Market Wrap For March 18: Markets Positive Despite Crimea Concerns,RL,0.014178760674955049,0.2696025778732545,0.00893297178849517,0.004203046231343377,-0.019438036091930733,0.0020961783041515414,-0.012539004018160216,-0.015506324411115657,-0.23773265651438236
96,2014-05-09,"Stocks To Watch For May 9, 2014",RL,-0.020922531063632177,1.9135712551590194,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.010430111780295848,-0.009877923777920183,-0.45248312640613286
99,2014-05-09,Market Wrap For May 9: Markets Marginally Higher But Nasdaq Still Suffers ,RL,-0.020922531063632177,1.9135712551590194,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.010430111780295848,-0.009877923777920183,-0.45248312640613286
100,2014-05-09,"Market Wrap For May 9: Markets Marginally Higher, But Nasdaq Still Suffers",RL,-0.020922531063632177,1.9135712551590194,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.010430111780295848,-0.009877923777920183,-0.45248312640613286
103,2014-05-12,"#PreMarket Primer: Monday, May 12th: Eastern Ukraine Succession Vote A Victory For Separatists ",RL,-0.009877923777920183,-0.45248312640613286,-0.020922531063632177,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.012351539738043593,-0.40733554008294337
105,2014-05-12,"#PreMarket Primer: Monday, May 12: Eastern Ukraine Secession Vote A Victory For Separatists ",RL,-0.009877923777920183,-0.45248312640613286,-0.020922531063632177,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.012351539738043593,-0.40733554008294337
107,2014-05-12,Market Wrap For May 12: Dow And S&P Close At Record Highs,RL,-0.009877923777920183,-0.45248312640613286,-0.020922531063632177,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.012351539738043593,-0.40733554008294337
108,2014-05-12,Market Wrap For May 12: Dow and S&P Close at Record Highs,RL,-0.009877923777920183,-0.45248312640613286,-0.020922531063632177,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,0.005548559478033344,0.012351539738043593,-0.40733554008294337
111,2014-05-13,Market Wrap For May 13: Markets Close Again At Record Highs,RL,0.012351539738043593,-0.40733554008294337,-0.009877923777920183,-0.020922531063632177,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,-0.01099461241161781,-0.5117801887398087
112,2014-05-13,Market Wrap For May 13: Markets Close Again at Record Highs,RL,0.012351539738043593,-0.40733554008294337,-0.009877923777920183,-0.020922531063632177,-0.0037360778650535886,-0.008642643459853994,-0.012639668570132212,-0.01099461241161781,-0.5117801887398087
115,2014-08-06,"Stocks To Watch For August 6, 2014",RL,0.001979914532478144,0.3510579449592035,0.0017273719817214594,0.011323148510544723,-0.008404789943408764,-0.021901571350977367,0.006442392526213148,0.007903893736373568,-0.31137724550898205
118,2014-08-07,"S&P 500 Falls To Two-Month Low, Dow Drifts Further Away From The 17,000 Mark",RL,0.007903893736373568,-0.31137724550898205,0.001979914532478144,0.0017273719817214594,0.011323148510544723,-0.008404789943408764,-0.021901571350977367,0.014672786277025063,-0.5201040505388331
