,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2009-12-14,Apple (APPL) Gets Sirius (SIRI),SIRI,0.0,0.12904504402480121,0.0,-0.016128930958585697,-0.015873232389702063,0.0,,0.016393337974964783,-0.24748363800496498
1,2010-05-27,"Early Volume Plays Among Those Valued Below $10 (BCON, SIRI, ALXA, JSDA)",SIRI,0.13636354620016955,-0.42925707941230373,-0.11111115632128021,-0.019802183563963682,-0.0194174156091651,0.06185568722808177,-0.07619055474543468,0.030000284661345633,-0.4731926587310956
2,2010-08-12,"Are Meteor Showers True Risks To Satellite Companies? (BA, DGI, GEOY, GILT, DISH, DTV, SIRI, HUGH, ICOG, IRDM, GSAT, ORBC, ORB, LORL)  ",SIRI,0.030612251189439776,-0.15654721167376295,-0.03921550429967058,-0.019230586738987143,-0.009524194991164081,-0.00943377583859939,0.0,-0.009901324435254155,-0.45407381698939664
3,2010-09-09,Top 10 'Buy'-Rated Stocks Under $5,SIRI,0.0,-0.3519974052938917,0.03960396829374613,0.0,0.020202231867811893,0.0,0.031249868872866182,0.0,-0.00014564311692677467
4,2010-09-24,"Friday's Most Active NASDAQ Stocks (QQQQ, ORCL, INTC, CSCO)",SIRI,0.017240920287439288,-0.19096062424637217,0.03571435636237563,-0.03448282448049789,-0.016948708947500446,0.04424775711525708,0.027272369393175344,-0.016948708947500446,0.06961908759186608
5,2011-05-10,Crowded Online Music Market will Likely Allow Consumers (and Investors) to Benefit,SIRI,0.07305950799238015,0.2033294794779581,-0.013513488175675215,0.04716982924628854,-0.004694868828296284,0.028985050358962816,0.08377015800206733,-0.017021394275600565,0.5139320072055498
6,2011-05-11,What's Hot On TheStreet?,SIRI,-0.017021394275600565,0.5139320072055498,0.07305950799238015,-0.013513488175675215,0.04716982924628854,-0.004694868828296284,0.028985050358962816,-0.012986813693223853,-0.47008055235903334
7,2011-11-22,"End-of-Day Market Summary for November 22, 2011",SIRI,0.01081074176111696,-0.17492853385594598,0.03932573844385878,0.022988747898396333,0.048192624901084,-0.017751523952409087,0.005952422817916414,-0.06951877993435074,-0.18685054824582947
8,2012-01-11,"Frequently Asked Questions: Day Trading, Prop Trading and Trading Strategies",SIRI,-0.004877887747274157,-0.3816567799380145,0.0,0.02499997985886715,-0.019607982522238165,0.11475394439581388,-0.016129000820299777,0.03431357448979755,0.9317507820589974
9,2012-02-09,"US Stock Futures Slightly Down; All Eyes On ECB, Jobless Claims",SIRI,0.0,0.09776972298642472,0.03301891214084507,-0.013953585973231486,0.0,0.014151043779215833,-0.009346046545072428,-0.01826478502946982,-0.5646367717553074
10,2012-05-10,Five Companies Technology Could Bankrupt Within Five Years,SIRI,0.0,-0.3638570665688907,0.018691214661032074,-0.013824733948387458,0.0046297246023774274,-0.022624591094122515,-0.01777748840855453,-0.022935637133915665,-0.5998670397123342
11,2012-07-09,"Financial Breakfast: Morning News Summary for July 9, 2012",SIRI,0.014634121739166783,0.6507325865669484,-0.019138892465251245,0.02450978069073817,0.02512560372782957,0.07567562781168347,-0.00537638173371513,-0.014423053025343524,-0.11201515645371574
15,2012-09-13,Benzinga's Top Pre-Market Losers,SIRI,0.020576225373804435,-0.2620664353824348,-0.02800014480129509,-0.0039842517258777965,-0.007904771235468289,-0.003937194354393769,0.007936349777834861,-0.004032341025296149,-0.239618575786962
18,2012-10-31,Howard Stern: Attractive At Any Price ,SIRI,-0.007091964221349056,-0.17216520589330964,-0.010526344553663525,-0.013841112113547105,0.006968783916515342,-0.013745800240438477,-0.0034247271406269153,0.0035713097113709846,1.078183439570239
22,2013-02-05,"Benzinga Market Primer, Tuesday February 5",SIRI,0.009463869351403087,1.0890842561662426,-0.01857573386023459,0.02866236341402728,-0.0031747915988403763,0.006389818886327836,-0.006349248339374891,-0.0124997527803965,-0.5796328113284346
23,2013-02-05,"Benzinga Market Primer: Tuesday, February 5",SIRI,0.009463869351403087,1.0890842561662426,-0.01857573386023459,0.02866236341402728,-0.0031747915988403763,0.006389818886327836,-0.006349248339374891,-0.0124997527803965,-0.5796328113284346
28,2013-04-26,Weekly Preview: Focus Shifts from Earnings to Economy,SIRI,0.0,-0.220507863330483,-0.006369134154675105,0.009646111674878943,0.026402730166317,0.006644474904870634,0.006688652908479309,-0.016025829840071282,0.8690459156093993
34,2013-05-06,TD Ameritrade's IMX Survey Declines to 5.31 in April,SIRI,0.008928552508702392,0.28443431455870605,0.018181778953582084,-0.017857105017404673,0.03384605173617028,0.05863205696352569,-0.016025829840071282,0.0,-0.4038473491828293
36,2013-07-09,A Peek Into The Market Before The Trading Starts,SIRI,0.034482839622765216,0.6317041189129673,0.029585763269891707,-0.02593676893296437,0.008720833073976308,0.01775175443044885,0.008955125660964347,-0.0027778695440735524,-0.43429639162925715
39,2013-10-18,"Benzinga Weekly Preview: Earnings Season Continues, Delayed US Data To Hit Markets",SIRI,0.015037360929178734,0.25088821711219045,0.010126850838525714,0.012820394926610579,-0.01015241710305037,0.015464019472001489,-0.007672550614561402,0.012345501362878153,-0.12816544203500657
43,2013-11-25,"Market Wrap For November 25: Nasdaq Breaks 4,000 Level For First Time Since 2000",SIRI,-0.005434818437623723,3.934413321136187,0.01098901098901095,0.002754766302890177,-0.013586902778347065,-0.021276389821563546,-0.025906707787622607,0.005464517095889132,-0.6629972160360702
47,2014-01-06,Market Wrap For January 6: Busy Day For Analysts Upgrades and Downgrades,SIRI,0.07282925724523936,6.2096939301417144,0.01999990808138663,0.0028651972305209217,-0.005697818839998314,-0.002840853543103483,-0.019498665555645833,0.007832743930764607,-0.5208078358002004
52,2014-01-07,Market Wrap For January 7: Markets Reverse Three Day Slump,SIRI,0.007832743930764607,-0.5208078358002004,0.07282925724523936,0.01999990808138663,0.0028651972305209217,-0.005697818839998314,-0.002840853543103483,-0.023315811565022937,-0.21780685915934916
54,2014-01-07,Market Wrap For January 7: Markets Reverse 3-Day Slump,SIRI,0.007832743930764607,-0.5208078358002004,0.07282925724523936,0.01999990808138663,0.0028651972305209217,-0.005697818839998314,-0.002840853543103483,-0.023315811565022937,-0.21780685915934916
56,2014-01-29,"Market Wrap For January 29: Markets Lower on Fed Taper, Emerging Markets Worries",SIRI,-0.011019501080810401,0.0017257116359334912,-0.008196631544970412,0.005494469271853042,-0.02150530698119857,-0.005347488763095876,0.008086236892872023,0.002785607598583484,-0.37802834315313916
60,2014-01-31,Benzinga Weekly Preview: Twitter To Release Earnings For The First Time Since Going Public,SIRI,-0.005555446087114002,-0.22810831435374812,0.002785607598583484,-0.011019501080810401,-0.008196631544970412,0.005494469271853042,-0.02150530698119857,-0.008379943204129492,1.3675902956406056
62,2014-01-31,Benzinga Weekly Preview:  Twitter To Release Earnings For The First Time Since Going Public,SIRI,-0.005555446087114002,-0.22810831435374812,0.002785607598583484,-0.011019501080810401,-0.008196631544970412,0.005494469271853042,-0.02150530698119857,-0.008379943204129492,1.3675902956406056
64,2014-02-04,Market Wrap for February 4: Investors and Traders Go Bargain Hunting,SIRI,-0.008450908657642753,-0.1662705818065594,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,-0.008196631544970412,-0.025568131378220338,0.8376028343798403
65,2014-02-04,Market Wrap For February 4: Investors And Traders Go Bargain Hunting,SIRI,-0.008450908657642753,-0.1662705818065594,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,-0.008196631544970412,-0.025568131378220338,0.8376028343798403
68,2014-02-05,Market Wrap For February 5: Markets Unsure of Which Direction to Take,SIRI,-0.025568131378220338,0.8376028343798403,-0.008450908657642753,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,0.005831020119844821,-0.5744150891971624
70,2014-02-05,"#PreMarket Primer: Wednesday, February 5: A Weak Rebound",SIRI,-0.025568131378220338,0.8376028343798403,-0.008450908657642753,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,0.005831020119844821,-0.5744150891971624
72,2014-02-05,US Stock Futures Flat; All Eyes On ADP Report,SIRI,-0.025568131378220338,0.8376028343798403,-0.008450908657642753,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,0.005831020119844821,-0.5744150891971624
75,2014-02-05,#PreMarket Primer: Wednesday February 5: A Weak Rebound,SIRI,-0.025568131378220338,0.8376028343798403,-0.008450908657642753,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,0.005831020119844821,-0.5744150891971624
77,2014-02-05,Market Wrap For February 5: Markets Unsure Of Which Direction To Take,SIRI,-0.025568131378220338,0.8376028343798403,-0.008450908657642753,-0.008379943204129492,-0.005555446087114002,0.002785607598583484,-0.011019501080810401,0.005831020119844821,-0.5744150891971624
