,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2010-06-10,J.P. Morgan Upgrades United Therapeutics To Overweight (UTHR) ,UTHR,0.055533992434011026,0.8086393989983305,0.005662974432961265,-0.0060171073473719305,0.006446607538733273,-0.026991103728730592,0.0005705359119854148,-0.0044150418648283285,-0.5193261797623168
1,2011-08-24,"Financial Breakfast for August 24, 2011",UTHR,-0.18150120547097703,12.973041117145074,0.03195763643456506,-0.031166709934317915,-0.004084148620664085,-0.03905019426061718,-0.007594925048439616,-0.015284405228859321,-0.7025192587965854
2,2011-08-25,"Financial Breakfast for August 25, 2011",UTHR,-0.015284405228859321,-0.7025192587965854,-0.18150120547097703,0.03195763643456506,-0.031166709934317915,-0.004084148620664085,-0.03905019426061718,0.01959288734635778,-0.2017777155655095
3,2012-06-27,A Peek Into The Market Before The Trading Starts,UTHR,0.020785699175086547,0.2626314439599897,0.01071433093653873,-0.008539884643741336,0.007978107178174154,-0.00334797749208926,-0.0033368059409035755,-0.00020366801275017998,0.054032094251472707
4,2012-10-24,Benzinga Mid-Morning Market Update,UTHR,-0.15559304224405013,3.1485497173570565,-0.022026445907165182,-0.006926741959305316,-0.028510723845376895,-0.018425127430651167,0.01661068429359247,0.016892604871738826,-0.6871802890522036
9,2013-02-26,"Earnings Scheduled For February 26, 2013",UTHR,0.009365260439756717,-0.05252222093962833,-0.001558444200656095,0.014047396423937375,0.012084597470124248,-0.010376365569023216,0.002821866759421532,0.017010272350373334,-0.36342592592592593
12,2013-03-26,13 Drugs Pending FDA Approval in 2013,UTHR,0.01291513706069325,-0.8069032314871885,-0.021821194658021903,-0.000655860213584214,-0.02525168649614229,0.005302024541422812,0.005980325730882585,0.013412839567437773,0.07417540659674726
18,2013-03-26,15 Drugs Pending FDA Approval in 2013,UTHR,0.01291513706069325,-0.8069032314871885,-0.021821194658021903,-0.000655860213584214,-0.02525168649614229,0.005302024541422812,0.005980325730882585,0.013412839567437773,0.07417540659674726
22,2013-03-26,14 Drugs Pending FDA Approval in 2013 [DRAFT],UTHR,0.01291513706069325,-0.8069032314871885,-0.021821194658021903,-0.000655860213584214,-0.02525168649614229,0.005302024541422812,0.005980325730882585,0.013412839567437773,0.07417540659674726
27,2013-03-26,16 Drugs Pending FDA Approval in 2013,UTHR,0.01291513706069325,-0.8069032314871885,-0.021821194658021903,-0.000655860213584214,-0.02525168649614229,0.005302024541422812,0.005980325730882585,0.013412839567437773,0.07417540659674726
28,2013-10-29,US Stock Futures Flat Ahead Of Fed,UTHR,0.03729464723725151,1.5237068965517242,0.008953392015822681,-0.009942522732131032,0.007847416533983465,0.00278454432424291,0.018244522650751716,0.0009248766595917335,-0.31644368535914225
31,2014-02-25,"Earnings Scheduled For February 25, 2014",UTHR,-0.03855351407595209,0.3516649263255598,0.011515410137187265,-0.021679456357774796,0.03295516376674823,-0.006316213222701816,0.02225097381451091,-0.0024875621890547706,-0.20909871244635192
34,2014-07-29,"Earnings Scheduled For July 29, 2014",UTHR,0.0810126663067372,4.108929119361767,-0.00807946165910478,-0.00801478910959108,-0.015461686576202949,0.005683633021950296,0.013917568362592725,-0.050096713316467034,-0.261021021021021
