,date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume
0,2009-12-22,"IBM Announces A Deal With Digicable (IBM, WIT, INFY)",WIT,-0.00454137553669165,-0.2598466768558728,-0.03505691694241453,0.032579183247410715,0.029343267571358966,0.06445186113563839,0.002485264188391456,0.03604031427575838,-0.3028018314238148
1,2011-05-16,"United Bank Of India Selects Cisco, Wipro For Wan Optimization -Bloomberg",WIT,-0.000716664605102002,0.31195188521213457,-0.005702135811775255,0.01740395576905973,-0.014295930295016301,0.02266068094229956,0.0,-0.0007177700342544391,0.4988842456939846
2,2012-05-10,US Asks India to Cut Oil Imports from Iran,WIT,0.007666903429487171,-0.411387413590769,-0.0043618961314786375,-0.006500658594190245,-0.020169772389654672,-0.012578659757559896,-0.010373469438945127,-0.010869656084917412,-0.1691025383693765
3,2013-04-22,"Mid-Day Market Update: Halliburton Jumps On Q1 Results, Wipro Falls",WIT,-0.03936026469646059,0.6081465468198886,-0.0412737527133874,0.014354110168945278,-0.026775325843684916,0.016568252281148332,-0.028735506729936966,0.007682448625399241,-0.30656572803169657
8,2013-04-22,"Mid-Morning Market Update: Markets Mixed, Caterpillar Lowers 2013 View",WIT,-0.03936026469646059,0.6081465468198886,-0.0412737527133874,0.014354110168945278,-0.026775325843684916,0.016568252281148332,-0.028735506729936966,0.007682448625399241,-0.30656572803169657
13,2014-09-16,How Recent IT Infrastructure Upgrades May Affect FedEx's Bottom Line,WIT,0.01537132721655965,0.14721385542168686,-0.01430970511659313,-0.010824433985440973,-0.006616928476666395,-0.0049382512238115295,-0.009780073005211776,0.0,1.1808336068263867
14,2014-09-16,Recent IT Infrastructure Upgrades May Affect FedEx Corporation's Bottom Line,WIT,0.01537132721655965,0.14721385542168686,-0.01430970511659313,-0.010824433985440973,-0.006616928476666395,-0.0049382512238115295,-0.009780073005211776,0.0,1.1808336068263867
21,2014-09-16,Recent IT Infrastructure Upgrades May Affect FedEx's Bottom Line,WIT,0.01537132721655965,0.14721385542168686,-0.01430970511659313,-0.010824433985440973,-0.006616928476666395,-0.0049382512238115295,-0.009780073005211776,0.0,1.1808336068263867
22,2015-01-16,"Earnings Scheduled For January 16, 2015",WIT,0.09584045083893011,-0.09937495054988532,-0.015137870306533241,-0.022628279667332496,0.018617124610785574,0.005347482209621557,-0.009708698331947874,-0.01485134341202654,-0.6018624264253711
25,2016-07-19,"Earnings Scheduled For July 19, 2016",WIT,-0.06835436277168083,1.9375408052230685,-0.00836830203381167,-0.03238850562621465,-0.00723465052644956,-0.0016052504072688878,0.0040290979265402704,0.0389491529364594,-0.35612683360497854
